Scaffold ID
3300009362 assembled Ga0118673_1002595
3300009657 assembled Ga0116179_1003921
3300013092 assembled Ga0163199_1001948
3300025448 assembled Ga0208037_1000211
3300025730 assembled Ga0209606_1055799
3300025716 assembled Ga0209746_1000290
3300026252 assembled Ga0209722_1005275
3300028591 assembled Ga0247611_10008920
3300018057 assembled Ga0187858_10006631
3300013882 assembled Ga0181306_100030
3300025597 assembled Ga0208825_1000251
3300029843 assembled Ga0245274_100025
3300020814 assembled Ga0214088_1387558
3300010276 assembled Ga0134104_1000085
3300019861 assembled Ga0206388_1097506
3300015266 assembled Ga0183122_110448
3300025326 assembled Ga0209342_10031079
3300020812 assembled Ga0214071_1266054
3300025846 assembled Ga0209538_1000007
3300007961 assembled Ga0079305_1000328
3300009167 assembled Ga0113563_10026508
3300021255 assembled Ga0223825_12125513
3300022302 assembled Ga0236239_1010197
3300028624 assembled Ga0302246_1002182
3300013743 assembled Ga0116842_1002877
3300035432 assembled Ga0119855_00144
3300025408 assembled Ga0208462_1000594
3300009039 assembled Ga0105152_10007210
3300023262 assembled Ga0222639_1000228
3300018033 assembled Ga0187867_10000014
3300031344 assembled Ga0265316_10217425
3300009687 assembled Ga0116144_10087387
3300009120 assembled Ga0117941_1002086
3300009642 assembled Ga0123331_1000681
3300009654 assembled Ga0116167_1029048
3300010277 assembled Ga0134093_1000014
3300028568 assembled Ga0255345_1003601
3300009772 assembled Ga0116162_10001773
3300028564 assembled Ga0255344_1000519
3300009087 assembled Ga0105107_10014073
3300008970 assembled Ga0116000_1004167
3300017975 assembled Ga0187782_10133262
3300026178 assembled Ga0265421_192330
3300025393 assembled Ga0208041_1002753
3300025501 assembled Ga0208563_1003047
3300010162 assembled Ga0131853_10007625
3300008340 assembled Ga0115359_10011011
3300026058 assembled Ga0208421_1002788
3300009694 assembled Ga0116170_10029387
3300009654 assembled Ga0116167_1002318
3300020079 assembled Ga0187906_1003537
3300021603 assembled Ga0226659_10029073
3300009556 assembled Ga0127641_12500
3300025460 assembled Ga0208562_1012691
3300027985 assembled Ga0259481_10806125
3300009085 assembled Ga0105103_10000906
3300026554 assembled Ga0265407_1000286
3300038590 assembled Ga0188683_000296
3300031993 assembled Ga0310696_10431851
3300026290 assembled Ga0209510_1081642
3300028622 assembled Ga0302253_1000131
3300026179 assembled Ga0265406_1102377
3300014498 assembled Ga0182019_10070014
3300031463 assembled Ga0272448_1057987
3300028886 assembled Ga0256407_10101126
3300021471 assembled Ga0190359_1007417
3300013877 assembled Ga0181300_100377
3300025706 assembled Ga0209507_1006732
3300028888 assembled Ga0247609_10205133
3300028634 assembled Ga0302242_1010926
3300009120 assembled Ga0117941_1001328
3300018040 assembled Ga0187862_10017721
3300028032 assembled Ga0265296_1000038
3300026512 assembled Ga0256842_1018255
3300020813 assembled Ga0214086_1034856
3300013103 assembled Ga0164318_10010115
3300028564 assembled Ga0255344_1081933
3300025708 assembled Ga0209201_1007313
3300009704 assembled Ga0116145_1000630
3300028602 assembled Ga0265294_10000877
3300025877 assembled Ga0208460_10041818
3300028602 assembled Ga0265294_10029223
3300010324 assembled Ga0129297_10043057
3300029823 assembled Ga0134844_101183
3300026255 assembled Ga0209613_1000089
3300014153 assembled Ga0181527_1094116
3300026311 assembled Ga0209723_1007200
3300030616 assembled Ga0272442_10000147
3300035643 assembled Ga0314860_0038510
3300026522 assembled Ga0256406_1001799
3300031673 assembled Ga0307377_10029257
3300021285 assembled Ga0214509_1000076
3300020814 assembled Ga0214088_1795190
3300031565 assembled Ga0307379_10033554
3300025677 assembled Ga0209719_1001242
3300022666 assembled Ga0248168_1057200
3300027897 assembled Ga0209254_10014272
3300025631 assembled Ga0209204_1027416
3300022872 assembled Ga0224526_1006959
3300021255 assembled Ga0223825_11028878
3300018089 assembled Ga0187774_10066799
3300018024 assembled Ga0187881_10000143
3300009566 assembled Ga0130025_1006040
3300014490 assembled Ga0182010_10012411
3300010411 assembled Ga0136993_10003143
3300010410 assembled Ga0136992_10014250
3300028048 assembled Ga0256405_10009218
3300021167 assembled Ga0216365_115073
3300025546 assembled Ga0209225_1000089
3300029247 assembled Ga0168719_1019186
3300021520 assembled Ga0194053_10014635
3300025628 assembled Ga0208902_1000158
3300034521 assembled Ga0310137_000401
3300034524 assembled Ga0310146_00004
3300019861 assembled Ga0206388_1134946
3300025597 assembled Ga0208825_1006092
3300025686 assembled Ga0209506_1023038
3300021498 assembled Ga0190309_1007794
3300021256 assembled Ga0223826_10214787
3300009692 assembled Ga0116171_10131079
3300022401 assembled Ga0216348_1000002
3300009362 assembled Ga0118673_1001010
3300021387 assembled Ga0223845_10403279
3300009120 assembled Ga0117941_1027578
3300025146 assembled Ga0209322_10000758
3300025611 assembled Ga0209408_1000541
3300028677 assembled Ga0255346_1032003
3300028032 assembled Ga0265296_1016340
3300010332 assembled Ga0116200_10071227
3300038313 assembled Ga0134846_000013
3300025393 assembled Ga0208041_1004631
3300010274 assembled Ga0134100_1000019
3300023371 assembled Ga0216340_10017773
3300007961 assembled Ga0079305_1000134
3300009761 assembled Ga0116168_1004239
3300025891 assembled Ga0209585_10044467
3300034520 assembled Ga0310136_000341
3300014638 assembled Ga0181536_10112325
3300028156 assembled Ga0268281_1000261
3300021587 assembled Ga0190351_1000283
3300028920 assembled Ga0272441_10011616
3300021387 assembled Ga0223845_12214027
3300007536 assembled Ga0102943_1021434
3300018878 assembled Ga0187910_10146931
3300023707 assembled Ga0257072_1000329
3300027566 assembled Ga0209639_1000380
3300027897 assembled Ga0209254_10121068
