Scaffold ID
3300032156 assembled Ga0315295_10444973
3300001784 assembled JGI20225J20221_1000387
3300002172 assembled JGI24730J26740_1021271
3300002172 assembled JGI24730J26740_1002203
3300001749 assembled JGI24025J20009_10000605
3300002515 assembled JGI24144J35610_10036562
3300000313 assembled WSSedB1CaDRAFT_10009214
3300002166 assembled JGI24713J26584_10000176
3300001480 assembled rank13_10075999
3300001688 assembled SAHDGT3000_10004796
3300002505 assembled JGI24704J35079_10004199
3300003541 assembled JGI20214J51650_10241184
3300001881 assembled JGI24728J21555_1000024
3300000840 assembled WSSedA1B2DRAFT_1001388
3300002163 assembled JGI24707J26582_10002104
3300001446 assembled JGI20130J15133_1007665
3300002172 assembled JGI24730J26740_1000003
3300000103 assembled IMNBL5_c1000093
3300002469 assembled JGI24701J34945_10034198
3300001866 assembled JGI24729J20445_1000321
3300002498 assembled TOLCLC_10000121
3300003664 assembled OilBA1_1000248
3300002504 assembled JGI24705J35276_12236010
3300002498 assembled TOLCLC_10038411
3300002462 assembled JGI24702J35022_10082372
3300001095 assembled JGI12104J13512_1000369
3300002127 assembled JGI20164J26629_10001103
3300001784 assembled JGI20225J20221_1000054
3300002963 assembled JGI1652J44930_10000013
3300003649 assembled JGI26787J52750_103428
3300001148 assembled More10kbN_1000201
3300000062 assembled IMNBL1DRAFT_c0000001
3300001784 assembled JGI20225J20221_1000625
3300001095 assembled JGI12104J13512_1010455
3300002446 assembled NAPDCCLC_10049822
3300001446 assembled JGI20130J15133_1000339
3300002180 assembled JGI24724J26744_10047046
3300002174 assembled JGI24710J26742_10003329
3300000504 assembled M940CN_1013966
3300003667 assembled LSCM3L_1001276
3300002462 assembled JGI24702J35022_10010158
3300000062 assembled IMNBL1DRAFT_c0000479
3300001682 assembled SAHD_10000722
3300000838 assembled JGI996J12353_1000093
3300000114 assembled IMNBL3_c10020982
3300001095 assembled JGI12104J13512_1000505
3300002569 assembled JGI24136J36422_10007399
3300002179 assembled JGI24141J26756_1032462
3300000103 assembled IMNBL5_c1000725
3300002171 assembled JGI24732J26686_1000158
3300002977 assembled soap12_1055152
3300000838 assembled JGI996J12353_1000725
3300003541 assembled JGI20214J51650_10227091
3300001482 assembled rank07_10053531
3300001529 assembled rank38_10027795
3300002163 assembled JGI24707J26582_10008369
3300002966 assembled JGI24721J44947_10014446
3300002504 assembled JGI24705J35276_12171685
3300002549 assembled JGI24130J36418_10001805
3300001481 assembled rank01_10066589
3300003667 assembled LSCM3L_1006444
3300001368 assembled JGI20225J14565_1000035
3300002462 assembled JGI24702J35022_10002078
3300001096 assembled JGI11944J13513_1000033
3300001096 assembled JGI11944J13513_1005596
3300001914 assembled JGI24731J21663_1002448
3300001410 assembled JGI20179J14886_1000113
3300002966 assembled JGI24721J44947_10022607
3300002182 assembled JGI24721J26819_10007860
3300002167 assembled JGI24714J26587_10001584
3300002963 assembled JGI1652J44930_10000761
3300001869 assembled JGI24147J20444_1009462
3300002172 assembled JGI24730J26740_1011812
3300002989 assembled JGI24143J45723_1007590
3300002125 assembled JGI20165J26630_10010241
3300001914 assembled JGI24731J21663_1018578
3300001866 assembled JGI24729J20445_1003072
3300000506 assembled Soeholt_1047951
3300003432 assembled JGI20214J51088_10054738
3300001749 assembled JGI24025J20009_10013335
3300001844 assembled RCM35_1002283
3300002498 assembled TOLCLC_10019872
3300001682 assembled SAHD_10002206
3300002569 assembled JGI24136J36422_10032833
3300001866 assembled JGI24729J20445_1000309
3300002171 assembled JGI24732J26686_1000340
3300002462 assembled JGI24702J35022_10001241
3300002446 assembled NAPDCCLC_10001849
3300003666 assembled L3E_1000246
3300002821 assembled Iso3TCLC_10001775
3300001682 assembled SAHD_10001126
3300003660 assembled LSCMMerge_1001801
3300002462 assembled JGI24702J35022_10068996
3300002834 assembled JGI24696J40584_12960348
