Scaffold ID
3300049724 assembled Ga0495420_0006089
3300042150 assembled Ga0439246_000894
3300035676 assembled Ga0316623_00318808
3300042659 assembled Ga0466733_129750
3300033481 assembled Ga0316600_10047454
3300045007 assembled Ga0438308_0024039
3300051047 assembled Ga0527658_000338
3300050009 assembled Ga0395634_0022291
3300048558 assembled Ga0496011_0019269
3300033172 assembled Ga0334888_1011081
3300056868 assembled Ga0568855_0057585
3300031873 assembled Ga0315297_10029352
3300049922 assembled Ga0495691_03196
3300050024 assembled Ga0494732_0015338
3300050027 assembled Ga0495362_002726
3300035179 assembled Ga0373630_0080116
3300046686 assembled Ga0494755_0027238
3300042594 assembled Ga0466694_043496
3300038673 assembled Ga0416707_001653
3300052285 assembled Ga0528627_005795
3300034091 assembled Ga0326724_0031643
3300051810 assembled Ga0528659_004998
3300051219 assembled Ga0496795_01205
3300032070 assembled Ga0315279_10010615
3300056905 assembled Ga0568917_0032792
3300037156 assembled Ga0395916_024053
3300051035 assembled Ga0527645_017298
3300049719 assembled Ga0495414_0087393
3300050582 assembled Ga0531114_007339
3300051514 assembled Ga0527694_015878
3300045275 assembled Ga0438306_0006140
3300035659 assembled Ga0373628_0167131
3300042261 assembled Ga0451520_0001737
3300033176 assembled Ga0334886_1004038
3300045557 assembled Ga0495748_000004
3300051839 assembled Ga0528617_000673
3300042619 assembled Ga0466726_014779
3300032770 assembled Ga0335085_10486974
3300038460 assembled Ga0436661_0000912
3300041692 assembled Ga0451973_1271063
3300051836 assembled Ga0528613_000038
3300037065 assembled Ga0395704_003875
3300033405 assembled Ga0326727_10221637
3300041729 assembled Ga0452005_0176365
3300048590 assembled Ga0498928_0052411
3300033165 assembled Ga0334892_1002357
3300051218 assembled Ga0496794_000213
3300032783 assembled Ga0335079_10390312
3300033171 assembled Ga0334895_1001209
3300045611 assembled Ga0438319_0004101
3300037843 assembled Ga0427918_0019894
3300038427 assembled Ga0427947_004753
3300054085 assembled nmdc:mga0qb88_6_c1
3300056899 assembled Ga0568883_0028419
3300058959 assembled Ga0499524_020673
3300051029 assembled Ga0527637_000080
3300033416 assembled Ga0316622_100313572
3300041756 assembled Ga0452041_0867763
3300038743 assembled Ga0417229_001295
3300048656 assembled Ga0504918_0000060
3300036885 assembled Ga0334823_028592
3300035640 assembled Ga0394087_02502
3300057024 assembled Ga0568885_0026898
3300035701 assembled Ga0373625_0172086
3300051162 assembled Ga0526685_0073817
3300032191 assembled Ga0326360_1001353
3300056870 assembled Ga0562386_00055
3300037047 assembled Ga0377239_015843
3300041748 assembled Ga0452023_0530594
3300045566 assembled Ga0495040_138734
3300044603 assembled Ga0485107_001794
3300040736 assembled Ga0439196_0013586
3300041085 assembled Ga0452209_280276
3300060608 assembled Ga0592794_0001549
3300031952 assembled Ga0315294_10103738
3300056902 assembled Ga0568906_0019213
3300033174 assembled Ga0334882_1000516
3300035528 assembled Ga0376490_002566
3300041957 assembled Ga0456187_008410
3300047491 assembled Ga0485326_002085
3300056902 assembled Ga0568906_0003835
3300050023 assembled Ga0494729_0012289
3300038661 assembled Ga0401130_0004357
3300051162 assembled Ga0526685_0116910
3300034169 assembled Ga0370480_0030965
3300051048 assembled Ga0527660_000668
3300037264 assembled Ga0393283_0057178
3300048585 assembled Ga0498913_0184867
3300032156 assembled Ga0315295_10441220
3300039474 assembled Ga0435844_067879
3300033167 assembled Ga0334898_1002862
3300037226 assembled Ga0395716_007660
3300032046 assembled Ga0315289_10017859
3300033175 assembled Ga0334890_1001720
3300035436 assembled Ga0394079_05554
3300050028 assembled Ga0495363_001250
3300032342 assembled Ga0315286_10044002
3300056899 assembled Ga0568883_0019198
