Scaffold ID
3300037090 assembled Ga0334824_014620
3300039566 assembled Ga0435841_000001
3300049641 assembled Ga0499519_000024
3300057000 assembled Ga0568842_0094303
3300056867 assembled Ga0568854_0010470
3300059485 assembled Ga0499530_026866
3300037047 assembled Ga0377239_013867
3300041962 assembled Ga0456188_001610
3300040942 assembled Ga0439233_0010263
3300032897 assembled Ga0335071_10285976
3300047586 assembled Ga0480572_0100576
3300048585 assembled Ga0498913_0022941
3300042274 assembled Ga0451657_002863
3300041749 assembled Ga0452025_0075053
3300036951 assembled Ga0377208_016258
3300033148 assembled Ga0366832_1057492
3300037198 assembled Ga0395635_0064528
3300050333 assembled Ga0528472_000430
3300040952 assembled Ga0451423_036479
3300046710 assembled Ga0494753_0060928
3300033178 assembled Ga0334885_1004872
3300055505 assembled Ga0556706_010487
3300059485 assembled Ga0499530_041556
3300048831 assembled Ga0498914_0053773
3300049702 assembled Ga0499529_045828
3300035437 assembled Ga0394080_19975
3300033817 assembled Ga0373875_000959
3300036967 assembled Ga0377227_003627
3300052918 assembled Ga0480581_000157
3300051807 assembled Ga0528656_003661
3300033141 assembled Ga0366833_1000128
3300048044 assembled Ga0497337_000006
3300039412 assembled Ga0427922_0087566
3300033144 assembled Ga0366838_1069071
3300031853 assembled Ga0326514_10011243
3300051387 assembled Ga0503147_0011948
3300051803 assembled Ga0528651_003948
3300054048 assembled nmdc:mga05y13_21399_c1
3300033142 assembled Ga0366826_1000741
3300056899 assembled Ga0568883_0006149
3300051503 assembled Ga0527659_002397
3300033175 assembled Ga0334890_1001732
3300031707 assembled Ga0315291_10098942
3300036878 assembled Ga0334796_012705
3300033150 assembled Ga0366835_1000005
3300031485 assembled Ga0325302_1030243
3300033433 assembled Ga0326726_10031832
3300032164 assembled Ga0315283_10142215
3300044508 assembled Ga0436548_0004542
3300055488 assembled Ga0556680_005714
3300045502 assembled Ga0494960_00034314
3300052281 assembled Ga0528623_000032
3300044273 assembled Ga0467084_054168
3300057307 assembled Ga0583562_0000030
3300051036 assembled Ga0527646_000021
3300051019 assembled Ga0526686_0061107
3300038550 assembled Ga0436471_0174827
3300041571 assembled Ga0451901_1002369
3300051029 assembled Ga0527637_000023
3300031260 assembled Ga0325117_138169
3300048776 assembled Ga0494744_003467
3300046704 assembled Ga0494763_0008484
3300037528 assembled Ga0334897_000517
3300033176 assembled Ga0334886_1004972
3300036972 assembled Ga0377232_063878
3300033416 assembled Ga0316622_100236766
3300045557 assembled Ga0495748_000052
3300057047 assembled Ga0568841_0183524
3300041558 assembled Ga0451909_1140379
3300035382 assembled Ga0393879_10596
3300034686 assembled Ga0334891_001186
3300033142 assembled Ga0366826_1195547
3300033156 assembled Ga0366836_1001408
3300051045 assembled Ga0527656_002967
3300054061 assembled nmdc:mga0bm49_129_c2
3300058954 assembled Ga0499527_000003
3300034091 assembled Ga0326724_0037622
3300042261 assembled Ga0451520_0001205
