Scaffold ID
3300042582 assembled Ga0466657_092275
3300038459 assembled Ga0436658_0051990
3300032118 assembled Ga0315277_10507177
3300036958 assembled Ga0377216_000175
3300052722 assembled Ga0526692_0043977
3300054082 assembled nmdc:mga0np53_691_c1
3300051207 assembled Ga0526688_0161660
3300048657 assembled Ga0504910_0027884
3300041961 assembled Ga0456192_007768
3300056888 assembled Ga0568905_0023031
3300051501 assembled Ga0527644_000678
3300041889 assembled Ga0452099_1863202
3300040736 assembled Ga0439196_0000198
3300031707 assembled Ga0315291_10070161
3300050587 assembled Ga0531111_000616
3300048564 assembled Ga0496022_0050211
3300043295 assembled Ga0439229_000627
3300038975 assembled Ga0416723_01184
3300051386 assembled Ga0503146_0001772
3300041665 assembled Ga0451923_2407151
3300051510 assembled Ga0527683_001065
3300035675 assembled Ga0316618_00051170
3300033174 assembled Ga0334882_1003095
3300054106 assembled nmdc:mga0zt51_4607_c1
3300042269 assembled Ga0451652_013965
3300056902 assembled Ga0568906_0271828
3300051161 assembled Ga0526684_0077905
3300035659 assembled Ga0373628_0038333
3300042270 assembled Ga0451653_000944
3300042273 assembled Ga0451656_009646
3300056905 assembled Ga0568917_0086612
3300057048 assembled Ga0568852_0264837
3300048598 assembled Ga0498939_133832
3300049724 assembled Ga0495420_0009989
3300052307 assembled Ga0527693_003255
3300041694 assembled Ga0451975_1530026
3300049854 assembled Ga0499971_009475
3300056902 assembled Ga0568906_0128219
3300041728 assembled Ga0452003_0270068
3300041718 assembled Ga0451999_1522851
3300033169 assembled Ga0334887_1003928
3300050342 assembled Ga0527077_1483
3300048599 assembled Ga0498940_0000023
3300033141 assembled Ga0366833_1000093
3300060291 assembled Ga0568894_0170196
3300056883 assembled Ga0568879_0158194
3300050334 assembled Ga0528474_001916
3300048767 assembled Ga0494726_006417
3300035559 assembled Ga0394089_02566
3300035556 assembled Ga0394028_13800
3300035659 assembled Ga0373628_0099204
3300042089 assembled Ga0466255_111865
3300032931 assembled Ga0346524_10364358
3300041896 assembled Ga0452103_0387307
3300049616 assembled Ga0506419_0003004
3300033176 assembled Ga0334886_1030991
3300042534 assembled Ga0455842_0000190
3300038427 assembled Ga0427947_000007
3300036984 assembled Ga0393270_0010306
3300047196 assembled Ga0494776_003337
3300054096 assembled nmdc:mga0tz31_1050_c1
3300056791 assembled Ga0562384_00425
3300037101 assembled Ga0395699_001328
3300051055 assembled Ga0527671_007985
3300051217 assembled Ga0495690_00600
3300045960 assembled Ga0484966_0006803
3300047501 assembled Ga0494789_0017796
3300057044 assembled Ga0568899_0059776
3300042273 assembled Ga0451656_001166
3300044802 assembled Ga0480582_0058327
3300057024 assembled Ga0568885_0264158
3300035639 assembled Ga0394085_19608
3300054045 assembled nmdc:mga02p34_571_c1
3300037106 assembled Ga0395713_0006084
3300040957 assembled Ga0427929_0000345
3300031952 assembled Ga0315294_10004145
3300032163 assembled Ga0315281_10039363
3300040999 assembled Ga0395527_128151
3300047643 assembled Ga0497321_005319
3300056885 assembled Ga0568890_0022555
3300040736 assembled Ga0439196_0000996
3300031919 assembled Ga0326327_1000760
3300056675 assembled Ga0558068_0004614
3300034783 assembled Ga0376972_05243
3300054042 assembled nmdc:mga01v18_765_c1
3300057005 assembled Ga0568881_0133278
3300038972 assembled Ga0416717_0688317
3300034794 assembled Ga0376952_049983
3300051498 assembled Ga0527633_000410
3300038975 assembled Ga0416723_03359
3300056899 assembled Ga0568883_0015625
3300038385 assembled Ga0436354_071409
3300040733 assembled Ga0439193_007736
3300031707 assembled Ga0315291_10089098
3300037453 assembled Ga0394155_0267802
3300037092 assembled Ga0334832_018210
3300037133 assembled Ga0395988_026632
3300057010 assembled Ga0568860_0018874
3300037461 assembled Ga0392394_0050158
3300054074 assembled nmdc:mga0jc80_94551_c1
3300037528 assembled Ga0334897_009074
3300056870 assembled Ga0562386_14421
3300035659 assembled Ga0373628_0015998
3300038787 assembled Ga0414637_0881412
3300056997 assembled Ga0568910_0133278
3300037045 assembled Ga0377235_091829
3300056888 assembled Ga0568905_0100657
3300039444 assembled Ga0415150_0029166
3300056870 assembled Ga0562386_01626
3300045718 assembled Ga0486122_74670
3300035531 assembled Ga0376493_007674
3300054074 assembled nmdc:mga0jc80_19_c1
3300056870 assembled Ga0562386_04548
3300038477 assembled Ga0436672_0016992
3300051627 assembled Ga0527705_007124
3300042605 assembled Ga0466716_118631
3300044606 assembled Ga0485351_027386
3300042274 assembled Ga0451657_039960
3300050022 assembled Ga0494724_0001306
3300043569 assembled Ga0453687_083822
3300041961 assembled Ga0456192_002458
3300045007 assembled Ga0438308_0001064
3300048689 assembled Ga0504919_0012423
3300032118 assembled Ga0315277_10029951
3300056973 assembled Ga0568895_0046625
3300044556 assembled Ga0455775_000004
3300035525 assembled Ga0376487_008676
3300034091 assembled Ga0326724_0026158
3300054083 assembled nmdc:mga0q218_4656_c1
3300032070 assembled Ga0315279_10006558
3300041722 assembled Ga0452007_0350051
3300037212 assembled Ga0395678_0014659
3300033166 assembled Ga0334900_1000475
3300036963 assembled Ga0377222_000067
3300033170 assembled Ga0334884_1001257
3300037227 assembled Ga0395717_0000902
3300041732 assembled Ga0452013_1776448
3300051810 assembled Ga0528659_012897
3300048832 assembled Ga0498915_0073742
3300056798 assembled Ga0558076_0000277
3300033419 assembled Ga0316601_100392494
3300038401 assembled Ga0436458_0004055
3300047656 assembled Ga0497307_011257
3300051046 assembled Ga0527657_000179
3300033173 assembled Ga0334889_1001094
3300033167 assembled Ga0334898_1002013
3300046703 assembled Ga0494758_0005413
3300050124 assembled Ga0500013_001086
3300051026 assembled Ga0527630_028543
3300039307 assembled Ga0427938_0013048
3300048653 assembled Ga0504912_0028890
3300033165 assembled Ga0334892_1004930
3300056902 assembled Ga0568906_0092369
3300038403 assembled Ga0436461_0066160
3300049640 assembled Ga0499518_003071
3300039326 assembled Ga0427941_0000039
3300051841 assembled Ga0528620_000200
3300036943 assembled Ga0377187_002999
3300042782 assembled Ga0482160_00599
3300060291 assembled Ga0568894_0010244
3300036947 assembled Ga0377204_065481
3300051820 assembled Ga0528672_0046384
3300033164 assembled Ga0334894_1000248
3300033983 assembled Ga0371488_0004892
3300050645 assembled Ga0531112_002161
3300057029 assembled Ga0568848_0101825
3300056897 assembled Ga0568878_0093785
3300041748 assembled Ga0452023_1222047
3300035557 assembled Ga0394029_08928
3300041748 assembled Ga0452023_1799654
3300051054 assembled Ga0527670_008626
3300042615 assembled Ga0466711_260121
3300053039 assembled Ga0503159_0020902
3300050022 assembled Ga0494724_0014617
3300040943 assembled Ga0439236_0000017
3300051162 assembled Ga0526685_0126944
3300048838 assembled Ga0498922_0009386
3300038952 assembled Ga0401129_0008901
3300037608 assembled Ga0401393_001748
3300047646 assembled Ga0497327_002319
3300048786 assembled Ga0494725_0001477
3300051802 assembled Ga0528650_022648
3300033004 assembled Ga0335084_10273248
3300031885 assembled Ga0315285_10000913
3300048652 assembled Ga0504285_0008121
3300034955 assembled Ga0374104_1681
3300037067 assembled Ga0378408_0108966
3300036966 assembled Ga0377226_032504
3300032070 assembled Ga0315279_10021361
3300045006 assembled Ga0438302_0088160
3300052314 assembled Ga0528641_053288
3300033178 assembled Ga0334885_1026477
3300033513 assembled Ga0316628_100530090
3300055460 assembled Ga0556672_017945
3300044848 assembled Ga0436556_012773
3300033405 assembled Ga0326727_10171890
3300033145 assembled Ga0366840_1085876
3300051019 assembled Ga0526686_0053557
3300033177 assembled Ga0334883_1007986
3300059599 assembled Ga0568901_0160257
3300052722 assembled Ga0526692_0037733
3300041727 assembled Ga0451985_0734471
3300036967 assembled Ga0377227_028596
3300059485 assembled Ga0499530_012890
3300052295 assembled Ga0528639_022188
3300050190 assembled Ga0500024_000104
3300033169 assembled Ga0334887_1014820
3300042876 assembled Ga0451577_0021697
3300040942 assembled Ga0439233_0011837
3300056868 assembled Ga0568855_0098547
3300051026 assembled Ga0527630_020214
3300044572 assembled Ga0484310_001558
3300035049 assembled Ga0376521_000117
3300051016 assembled Ga0527615_0100060
3300038974 assembled Ga0416721_001028
3300042598 assembled Ga0466701_022872
3300038450 assembled Ga0427959_0029567
3300041958 assembled Ga0456191_000200
3300050333 assembled Ga0528472_002324
3300034686 assembled Ga0334891_000437
3300032046 assembled Ga0315289_10035317
3300050335 assembled Ga0528473_000736
3300033480 assembled Ga0316620_10217071
3300051162 assembled Ga0526685_0006309
3300051034 assembled Ga0527643_001001
3300036949 assembled Ga0377206_018904
3300033513 assembled Ga0316628_100452547
3300037512 assembled Ga0400026_0008320
3300055512 assembled Ga0556723_006347
3300042271 assembled Ga0451654_001739
3300035532 assembled Ga0376494_003143
3300032829 assembled Ga0335070_10001113
3300054060 assembled nmdc:mga0b303_42725_c1
3300038743 assembled Ga0417229_000503
3300039414 assembled Ga0435746_0005378
3300047643 assembled Ga0497321_016559
3300039412 assembled Ga0427922_0000026
3300035437 assembled Ga0394080_23389
3300046481 assembled Ga0495436_001976
3300054060 assembled nmdc:mga0b303_85_c1
3300036942 assembled Ga0377186_000078
3300033174 assembled Ga0334882_1002117
3300035208 assembled Ga0376279_0023395
3300051019 assembled Ga0526686_0452218
3300038420 assembled Ga0427954_0017428
3300061472 assembled Ga0568889_0012271
3300035640 assembled Ga0394087_09235
3300031919 assembled Ga0326327_1003924
3300056752 assembled Ga0558066_0005225
3300035435 assembled Ga0394023_18273
3300049639 assembled Ga0499517_000069
