sampleid	source	form	depth	pH	redox
#q2:types	categorical	categorical	numeric	numeric	numeric
4-03A-V4V5_CNRL_6350	Horizon	Mud	0.8	7.66	-13.6
4-03B-V4V5_CNRL_6351	Horizon	Mud	0.8	7.66	-13.6
4-03C-V4V5_CNRL_6352	Horizon	Mud	0.8	7.66	-13.6
4-03D-V4V5_CNRL_6356	Horizon	Mud	2.8	7.68	-142
4-03E-V4V5_CNRL_6357	Horizon	Mud	2.8	7.68	-142
4-03F-V4V5_CNRL_6358	Horizon	Mud	2.8	7.68	-142
4-03G-V4V5_CNRL_6359	Horizon	Mud	3.4	7.67	-156
4-03H-V4V5_CNRL_6423	Horizon	Mud	0.7	7.59	-147.3
4-04A-V4V5_CNRL_6424	Horizon	Mud	0.7	7.59	-147.3
4-04B-V4V5_CNRL_6425	Horizon	Mud	0.7	7.59	-147.3
4-04C-V4V5_CNRL_6427	Horizon	Mud	1.7	7.51	-110.2
4-04D-V4V5_CNRL_6428	Horizon	Mud	1.7	7.51	-110.2
4-04E-V4V5_CNRL_6429	Horizon	Mud	2.7	7.55	-73
4-04F-V4V5_CNRL_6430	Horizon	Mud	2.7	7.55	-73
4-04G-V4V5_CNRL_6432	Horizon	Mud	3.7	7.55	-90
4-04H-V4V5_CNRL_6433	Horizon	Mud	3.7	7.55	-90
4-05A-V4V5_CNRL_6434	Horizon	Mud	3.7	7.55	-90
4-05B-V4V5_CNRL_6358x2	Horizon	Mud	2.8	7.68	-142
L41_CNRL_6353B_V4V5	Horizon	Mud	1.1	7.59	-121.8
L41_CNRL_6360B_V4V5	Horizon	Mud	2.7	7.67	-156
L41_CNRL_6361B_V4V5	Horizon	Mud	2.7	7.67	-156
L41_CNRL_6431B_V4V5	Horizon	Mud	2.1	7.55	-73
4-11D-CNRL_6341_V5	Horizon	Water	0.1	7.38	168.8
4-11A-CNRL_6342_V5	Horizon	Water	0.1	7.38	168.8
4-11B-CNRL_6418_V5	Horizon	Water	0.3	8.13	-32.5
4-11C-CNRL_6419_V5	Horizon	Water	0.3	8.13	-32.5
