,,NCBI Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID,NCBI Phylum,NCBI Class,NCBI Order,NCBI Family,NCBI Genus,NCBI Species,GTDB Domain,GTDB Phylum,GTDB Class,GTDB Order,GTDB Family,GTDB Genus,GTDB Species,Sequencing Depth,Sequencing Method,Sequencing Quality,Sequencing Status,Sequencing Strategy,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Specific Ecosystem,Habitat,Nitrate Concentration,Oxygen Concentration,pH,Salinity,Genome Size  * assembled,Gene Count  * assembled
1,,*Microbiome,Permanent Draft,"Coalbed water microbial communities from New Mexico, USA","Coalbed microbial communities from New Mexico, USA - 454AllContigs1fnal",Virginia Polytechnic Institute and State University,2037747002,Environmental,Aquatic,Freshwater,Groundwater,Coalbed water,"Coalbed water microbial communities from New Mexico, USA",,,,,,,,,454,,Complete,Metagenome,Environmental,Aquatic,Groundwater,Freshwater,Coalbed water,Coalbed water,,,,,14846617,24920
2,,*Microbiome,Permanent Draft,"Coalbed water microbial communities from New Mexico, USA","Coalbed microbial communities from New Mexico, USA - water sample 454AllContigs2fna",Virginia Polytechnic Institute and State University,2037747003,Environmental,Aquatic,Freshwater,Groundwater,Unclassified,"Coalbed water microbial communities from New Mexico, USA",,,,,,,,,454,,Complete,Metagenome,Environmental,Aquatic,Groundwater,Freshwater,Unclassified,Coalbed water,,,,,14876031,24003
3,,*Microbiome,Permanent Draft,"Wastewater bioreactor microbial communities from Singapore and Univ of Illinois at Urbana, that are terephthalate-degrading","Wastewater bioreactor microbial communities from Univ ogf Illinois, Urbana - Sample 414",DOE Joint Genome Institute  (JGI),2048955004,Engineered,Wastewater,Industrial wastewater,Unclassified,Unclassified,"Wastewater bioreactor microbial communities from Singapore and Univ of Illinois at Urbana, that are terephthalate-degrading",,,,,,,,,,,Complete,Metagenome,Engineered,Wastewater,Unclassified,Industrial wastewater,Unclassified,Wastewater bioreactor,,,,,6889424,13459
4,,*Microbiome,Draft,"Benzene-degrading bioreactor microbial communities from Toronto, Ontario, Canada, that are methanogenic","Benzene-degrading bioreactor microbial communities from Toronto, Ontario, Canada, that are methanogenic - September 2009 gDNA_4 v2 (version 2)",DOE Joint Genome Institute  (JGI),2061766000,Engineered,Bioremediation,Hydrocarbon,Benzene,Bioreactor,"Benzene-degrading bioreactor microbial communities from Toronto, Ontario, Canada, that are methanogenic",,,,,,,,,Sanger,,Draft,Metagenome,Engineered,Bioremediation,Benzene,Hydrocarbon,Bioreactor,Benzene-degrading bioreactor,,,,,80838838,207753
5,,*Microbiome,Permanent Draft,"Switchgrass-associated bovine rumen microbial communities from Urbana, Illinois, USA","Bovine rumen microbial communities fromthe University of Illinois at Urbana-Champaign, USA, that are switchgrass associated - Sample 470",DOE Joint Genome Institute  (JGI),2061766007,Host-associated,Mammals,Digestive system,Stomach,Rumen,"Switchgrass-associated bovine rumen microbial communities from Urbana, Illinois, USA",,,,,,,,,Illumina,,Complete,Metagenome,Host-associated,Mammals,Stomach,Digestive system,Rumen,Bovine rumen,,,,,1929671258,2744143
6,,*Microbiome,Permanent Draft,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community","Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community - Mock Staggered Illumina PE Velve",Baylor College of Medicine,2065487002,Host-associated,Human,Digestive system,Large intestine,Fecal,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community",,,,,,,,,Illumina,Level 1: Standard Draft,Complete,Metagenome,Host-associated,Mammals: Human,Large intestine,Digestive system,Fecal,Human fecal,,,,,33349891,62476
7,,*Microbiome,Permanent Draft,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community","Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community - Mock Staggered Illumina SOAP",Baylor College of Medicine,2065487003,Host-associated,Human,Digestive system,Large intestine,Fecal,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community",,,,,,,,,Illumina,Level 1: Standard Draft,Complete,Metagenome,Host-associated,Mammals: Human,Large intestine,Digestive system,Fecal,Human fecal,,,,,38338343,90576
8,,*Microbiome,Permanent Draft,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community","Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community - Mock Staggered Illumina CeleraAssembler",Baylor College of Medicine,2065487005,Host-associated,Human,Digestive system,Large intestine,Fecal,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community",,,,,,,,,Illumina,Level 1: Standard Draft,Complete,Metagenome,Host-associated,Mammals: Human,Large intestine,Digestive system,Fecal,Human fecal,,,,,32610999,81812
9,,*Microbiome,Permanent Draft,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community","Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community - Mock Staggered Illumina Newbler",Baylor College of Medicine,2065487006,Host-associated,Human,Digestive system,Large intestine,Fecal,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community",,,,,,,,,Illumina,Level 1: Standard Draft,Complete,Metagenome,Host-associated,Mammals: Human,Large intestine,Digestive system,Fecal,Human fecal,,,,,30590800,65531
10,,*Microbiome,Permanent Draft,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community","Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community - Mock Even Illumina SOAP 2010",Baylor College of Medicine,2065487007,Host-associated,Human,Digestive system,Large intestine,Fecal,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community",,,,,,,,,Illumina,Level 1: Standard Draft,Complete,Metagenome,Host-associated,Mammals: Human,Large intestine,Digestive system,Fecal,Human fecal,,,,,59922431,99425
11,,*Microbiome,Permanent Draft,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community","Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community - Mock Even Illumina 2009 SOAP",Baylor College of Medicine,2065487008,Host-associated,Human,Digestive system,Large intestine,Fecal,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community",,,,,,,,,Illumina,Level 1: Standard Draft,Complete,Metagenome,Host-associated,Mammals: Human,Large intestine,Digestive system,Fecal,Human fecal,,,,,60413046,101041
