Gene ID
2061766007 assembled _HiSeq_06258350
2061766007 assembled _HiSeq_06372580
2061766007 assembled _HiSeq_11817000
2199352030 assembled 2206340840
2225789003 assembled 2227361004
2225789003 assembled 2227419380
2225789004 assembled 2227474494
2225789004 assembled 2228078211
2228664010 assembled 2231279928
2228664010 assembled 2231285994
2228664010 assembled 2231288273
2228664010 assembled 2231289933
2236876020 assembled 2244008158
3300000494 assembled AAW_1000056186
3300001863 assembled anas_10071211
2199034002 assembled ANASMECb_00065320
2199034002 assembled ANASMECb_00085030
2199034002 assembled ANASMECb_00408120
3300001862 assembled anastwen_10045223
2140918003 assembled ANME1215_00510810
2077657014 assembled ASA126_01818320
2084038021 assembled ASA129_01102430
2140918024 assembled B_all_v_01139240
3300001674 assembled B2nonrrna_1000055
3300001674 assembled B2nonrrna_1000065
2124908037 assembled B3_GZBA_v_00005570
2140918009 assembled B3_GZOS_V_00067770
2140918025 assembled b3_nosca_v_01006440
2140918025 assembled b3_nosca_v_01157460
2124908039 assembled B3_v_00041940
2124908039 assembled B3_v_00488810
2124908040 assembled B4_c_00537860
3300003535 assembled Ba1_10001874
3300003535 assembled Ba1_100026726
3300003535 assembled Ba1_100062212
3300003535 assembled Ba1_10012221
3300003535 assembled Ba1_10012615
3300003535 assembled Ba1_100140210
3300003535 assembled Ba1_100394021
3300003535 assembled Ba1_10098554
3300003534 assembled Ba2oil_10089231
3300003534 assembled Ba2oil_10102501
3300003536 assembled Ba2Water_10228053
3300001298 assembled Bac131567_10688117
2061766000 assembled BDMC2_00286450
3300001389 assembled BDMCk91_10732110
3300002837 assembled bg3kmer60_100014335
3300002837 assembled bg3kmer60_100040113
3300002837 assembled bg3kmer60_10006328
3300002837 assembled bg3kmer60_10231581
2156126002 assembled BMHB2_0081.00005840
2156126002 assembled BMHB2_0276.00000050
2156126002 assembled BMHB2_0344.00013690
2156126002 assembled BMHB2_0510.00005710
2156126002 assembled BMHB2_0551.00001890
2156126002 assembled BMHB2_0767.00004290
2156126002 assembled BMHB2_0823.00009910
2156126002 assembled BMHB2_0824.00009840
2156126002 assembled BMHB2_0825.00009270
2156126002 assembled BMHB2_0947.00009080
2166559024 assembled BMHB3_01847860
7000000352 assembled C3382575__gene_307130
2037747002 assembled CBMAllContigs1fna_57910
2037747003 assembled CBMAllContigs2fna_130230
3300000302 assembled Cc83DRAFT_10058685
3300000304 assembled Cf135DRAFT_100059283
3300001861 assembled chempool_10044222
3300001528 assembled chfe1id_1000019513
3300001528 assembled chfe1id_1000041023
3300001528 assembled chfe1id_100031874
3300001528 assembled chfe1id_1000604812
3300001525 assembled chfec4_1000043339
3300002733 assembled codie8draft_1000065186
3300002733 assembled codie8draft_1000110142
3300002733 assembled codie8draft_1000159163
3300002733 assembled codie8draft_1000159199
3300002733 assembled codie8draft_1000332176
3300002733 assembled codie8draft_1000332212
3300002733 assembled codie8draft_1000348121
3300002733 assembled codie8draft_101812910
3300002079 assembled CSTR_10090751
3300001761 assembled CSTRM36_10052921
3300001759 assembled CSTRM44_1041723
3300002130 assembled CSTRM48_10107911
3300000032 assembled Draft_00017132
3300000032 assembled Draft_00022242
3300000032 assembled Draft_000528727
3300000032 assembled Draft_00165191
3300000032 assembled Draft_00196721
3300000032 assembled Draft_00413961
3300002898 assembled draft_10000111105
3300001567 assembled Draft_10000158124
3300002898 assembled draft_1000023615
3300002898 assembled draft_1000047823
3300002898 assembled draft_1000068252
3300001567 assembled Draft_1000095827
3300001567 assembled Draft_1000116731
3300002695 assembled draft_1000125
3300001580 assembled Draft_100013031
3300001567 assembled Draft_1000326314
3300001580 assembled Draft_100040189
3300001567 assembled Draft_1000409115
3300000568 assembled Draft_100041661
3300001567 assembled Draft_100052414
3300001567 assembled Draft_100057279
3300000558 assembled Draft_100063331
3300001605 assembled Draft_100069635
3300000558 assembled Draft_100083231
3300001580 assembled Draft_100100094
3300000558 assembled Draft_100127311
3300000568 assembled Draft_1001457732
3300000568 assembled Draft_1001457813
3300001580 assembled Draft_100148034
3300001594 assembled Draft_100187377
3300001592 assembled Draft_100189947
3300001594 assembled Draft_100190466
3300001592 assembled Draft_100193036
3300001567 assembled Draft_100220881
3300002694 assembled draft_1002333
3300001594 assembled Draft_100247561
3300001592 assembled Draft_100251121
3300001580 assembled Draft_100264455
3300000568 assembled Draft_100267785
3300001567 assembled Draft_100286272
3300001594 assembled Draft_100313014
3300001592 assembled Draft_100317724
3300001580 assembled Draft_100399091
3300001594 assembled Draft_100493412
3300000558 assembled Draft_100495592
3300001592 assembled Draft_100652301
3300001580 assembled Draft_100791082
3300000568 assembled Draft_100828341
3300000568 assembled Draft_100843382
3300000568 assembled Draft_100843474
3300000507 assembled Draft_1027171
3300000594 assembled Draft_103652
3300000507 assembled Draft_1043972
3300000507 assembled Draft_1044062
3300000507 assembled Draft_1055921
3300000568 assembled Draft_107655974
3300002703 assembled draft_110507152
3300002703 assembled draft_110784474
3300002703 assembled draft_110793571
3300002703 assembled draft_110801726
3300002703 assembled draft_110854029
3300002703 assembled draft_1108600620
3300002703 assembled draft_110866105
3300002856 assembled draft_115013781
3300002857 assembled draft_115172541
3300002596 assembled draft_14020291
3300002596 assembled draft_14138601
3300002596 assembled draft_14186332
3300002596 assembled draft_14187865
3300002596 assembled draft_14195754
3300002701 assembled draft_14196691
3300002701 assembled draft_14326221
3300002701 assembled draft_14380892
3300002701 assembled draft_14382725
3300002701 assembled draft_14392254
2067725009 assembled draft_perm_00075180
3300002534 assembled Draft15573
2084038002 assembled EBI1_00005530
2084038002 assembled EBI1_00155960
2084038002 assembled EBI1_00212200
3300000283 assembled EM238_100081222
3300001598 assembled EMG_100722263
3300001598 assembled EMG_100763784
3300001598 assembled EMG_101613391
3300001598 assembled EMG_102073501
3300002988 assembled FeGlu_100028889
3300003471 assembled FeGluNO3_100245812
3300000510 assembled Foulum_100262816
3300003513 assembled FS828DNA_10299542
3300004775 assembled Ga0007798_100078502
3300004775 assembled Ga0007798_100082283
3300004776 assembled Ga0007800_100016631
3300003859 assembled Ga0031653_100015635
3300003859 assembled Ga0031653_100185491
3300003861 assembled Ga0031654_100360132
3300003861 assembled Ga0031654_100470391
3300003852 assembled Ga0031655_100545581
3300003852 assembled Ga0031655_100576912
3300003852 assembled Ga0031655_100648561
3300003858 assembled Ga0031656_100024003
3300003858 assembled Ga0031656_100123501
3300003146 assembled Ga0051080_101487027
3300004024 assembled Ga0055436_100412341
3300003998 assembled Ga0055472_100038271
3300004063 assembled Ga0055483_100014145
3300004063 assembled Ga0055483_100303691
3300004063 assembled Ga0055483_100373401
3300004066 assembled Ga0055484_100023603
3300003889 assembled Ga0062441_100318637
3300005284 assembled Ga0065708_10405515
3300005278 assembled Ga0065718_10250305
3300005278 assembled Ga0065718_10253126
3300004282 assembled Ga0066599_1000165723
3300009029 assembled Ga0066793_100052367
3300009029 assembled Ga0066793_100319422
3300005947 assembled Ga0066794_100002884
