Gene ID
3300032118 assembled Ga0315277_1000216712
3300032118 assembled Ga0315277_1000262318
3300032118 assembled Ga0315277_100125882
3300032118 assembled Ga0315277_100299512
3300032118 assembled Ga0315277_100320131
3300032118 assembled Ga0315277_100427533
3300032118 assembled Ga0315277_100525995
3300032118 assembled Ga0315277_100669955
3300032118 assembled Ga0315277_101019865
3300032118 assembled Ga0315277_101532672
3300032118 assembled Ga0315277_102331161
3300032118 assembled Ga0315277_102332522
3300032118 assembled Ga0315277_102864651
3300032118 assembled Ga0315277_105071771
3300031997 assembled Ga0315278_100134155
3300031997 assembled Ga0315278_100643923
3300031997 assembled Ga0315278_102630421
3300032070 assembled Ga0315279_10000216100
3300032070 assembled Ga0315279_1000425015
3300032070 assembled Ga0315279_100059109
3300032070 assembled Ga0315279_1000655814
3300032070 assembled Ga0315279_100106152
3300032070 assembled Ga0315279_1001122710
3300032070 assembled Ga0315279_100213613
3300032070 assembled Ga0315279_100285453
3300032070 assembled Ga0315279_100442302
3300032070 assembled Ga0315279_100444002
3300032070 assembled Ga0315279_100689284
3300032070 assembled Ga0315279_100876122
3300032070 assembled Ga0315279_101808461
3300031862 assembled Ga0315280_10000108163
3300031862 assembled Ga0315280_1000316910
3300031862 assembled Ga0315280_100164518
3300031862 assembled Ga0315280_100209496
3300032163 assembled Ga0315281_1000424014
3300032163 assembled Ga0315281_100053539
3300032163 assembled Ga0315281_1003936310
3300032163 assembled Ga0315281_100491295
3300032069 assembled Ga0315282_100012712
3300032069 assembled Ga0315282_1000242320
3300032069 assembled Ga0315282_100085009
3300032069 assembled Ga0315282_100113233
3300032069 assembled Ga0315282_100422015
3300032069 assembled Ga0315282_102403961
3300032164 assembled Ga0315283_100389934
3300032164 assembled Ga0315283_100999971
3300032164 assembled Ga0315283_101422151
3300032164 assembled Ga0315283_105014971
3300032053 assembled Ga0315284_100453203
3300032053 assembled Ga0315284_100607332
3300032053 assembled Ga0315284_100887102
3300032053 assembled Ga0315284_101477763
3300032053 assembled Ga0315284_101521221
3300032053 assembled Ga0315284_102023431
3300032053 assembled Ga0315284_102272991
3300032053 assembled Ga0315284_102847482
3300032053 assembled Ga0315284_103963222
3300032053 assembled Ga0315284_105124071
3300031885 assembled Ga0315285_1000091317
3300031885 assembled Ga0315285_1000168611
3300031885 assembled Ga0315285_100141816
3300031885 assembled Ga0315285_100192796
3300031885 assembled Ga0315285_100263343
3300031885 assembled Ga0315285_100455372
3300031885 assembled Ga0315285_100487434
3300031885 assembled Ga0315285_100685061
3300031885 assembled Ga0315285_100814182
3300031885 assembled Ga0315285_101456392
3300031885 assembled Ga0315285_101508372
3300031885 assembled Ga0315285_101663782
3300032342 assembled Ga0315286_1000285917
3300032342 assembled Ga0315286_100070756
3300032342 assembled Ga0315286_100440021
3300032342 assembled Ga0315286_100573671
3300032342 assembled Ga0315286_100920442
3300032342 assembled Ga0315286_104025821
3300032397 assembled Ga0315287_100628795
3300032397 assembled Ga0315287_101460431
3300032397 assembled Ga0315287_101474651
3300032397 assembled Ga0315287_101535913
3300032397 assembled Ga0315287_102111811
3300032397 assembled Ga0315287_104984441
3300031772 assembled Ga0315288_100557872
3300031772 assembled Ga0315288_100560555
3300031772 assembled Ga0315288_100629991
3300031772 assembled Ga0315288_100753422
3300031772 assembled Ga0315288_103395961
3300032046 assembled Ga0315289_1000229923
3300032046 assembled Ga0315289_100031881
3300032046 assembled Ga0315289_1000365617
3300032046 assembled Ga0315289_100178599
3300032046 assembled Ga0315289_100353172
3300032046 assembled Ga0315289_100439155
3300032046 assembled Ga0315289_101134564
3300032046 assembled Ga0315289_104681451
3300031834 assembled Ga0315290_100167404
3300031834 assembled Ga0315290_101054493
3300031834 assembled Ga0315290_101553322
3300031834 assembled Ga0315290_103154351
3300031707 assembled Ga0315291_1000767510
3300031707 assembled Ga0315291_100142574
3300031707 assembled Ga0315291_100371124
3300031707 assembled Ga0315291_100390983
3300031707 assembled Ga0315291_100462204
3300031707 assembled Ga0315291_100512475
3300031707 assembled Ga0315291_100701614
3300031707 assembled Ga0315291_100740814
3300031707 assembled Ga0315291_100800901
3300031707 assembled Ga0315291_100890983
3300031707 assembled Ga0315291_100989422
3300031707 assembled Ga0315291_101559371
3300031707 assembled Ga0315291_101609871
3300031707 assembled Ga0315291_101807672
3300031707 assembled Ga0315291_102606651
3300032143 assembled Ga0315292_100318533
3300032143 assembled Ga0315292_103366501
3300031746 assembled Ga0315293_1000908012
3300031746 assembled Ga0315293_100240463
3300031746 assembled Ga0315293_100241495
3300031746 assembled Ga0315293_100506843
3300031746 assembled Ga0315293_101462242
3300031952 assembled Ga0315294_1000089219
3300031952 assembled Ga0315294_1000314015
3300031952 assembled Ga0315294_1000414511
3300031952 assembled Ga0315294_100111572
3300031952 assembled Ga0315294_100234192
3300031952 assembled Ga0315294_100762391
3300031952 assembled Ga0315294_101037381
3300031952 assembled Ga0315294_101360262
3300031952 assembled Ga0315294_102080612
3300032156 assembled Ga0315295_100033017
3300032156 assembled Ga0315295_100046992
3300032156 assembled Ga0315295_100164954
3300032156 assembled Ga0315295_100274701
3300032156 assembled Ga0315295_100528985
3300032156 assembled Ga0315295_100554694
3300032156 assembled Ga0315295_100602683
3300032156 assembled Ga0315295_101011251
3300032156 assembled Ga0315295_104412201
3300032156 assembled Ga0315295_104449731
3300032156 assembled Ga0315295_104513941
3300032020 assembled Ga0315296_1000002699
3300032020 assembled Ga0315296_100222612
3300032020 assembled Ga0315296_101921411
3300031873 assembled Ga0315297_100293521
3300031873 assembled Ga0315297_100355962
3300031873 assembled Ga0315297_100524792
3300031873 assembled Ga0315297_101182442
3300031873 assembled Ga0315297_102014772
3300031873 assembled Ga0315297_102223892
3300031873 assembled Ga0315297_102367821
3300031749 assembled Ga0315298_1000018210
3300031749 assembled Ga0315298_100150833
3300031806 assembled Ga0315306_100084283
3300031806 assembled Ga0315306_100138852
3300031604 assembled Ga0315309_10322662
3300031876 assembled Ga0315310_1000024835
3300031876 assembled Ga0315310_1000043924
3300031876 assembled Ga0315310_1000046313
3300031876 assembled Ga0315310_1000147615
3300031898 assembled Ga0315312_10299632
3300031898 assembled Ga0315312_10307922
3300031877 assembled Ga0315314_100013536
3300032676 assembled Ga0316229_10677301
3300031691 assembled Ga0316579_100403622
3300033481 assembled Ga0316600_100474541
3300033419 assembled Ga0316601_1002831441
3300033419 assembled Ga0316601_1003924941
3300033406 assembled Ga0316604_100078451
3300033408 assembled Ga0316605_100408783
3300033408 assembled Ga0316605_100443002
3300033434 assembled Ga0316613_101783531
3300033521 assembled Ga0316616_1000357322
3300033521 assembled Ga0316616_1000696871
3300033521 assembled Ga0316616_1001309772
3300033521 assembled Ga0316616_1004168182
3300033521 assembled Ga0316616_1005070991
3300033521 assembled Ga0316616_1006759751
3300033557 assembled Ga0316617_1000809621
3300033557 assembled Ga0316617_1003680561
3300035675 assembled Ga0316618_00000746_8939_10642
3300035675 assembled Ga0316618_00048558_23_1690
3300035675 assembled Ga0316618_00051170_396_2099
3300035675 assembled Ga0316618_00192750_3_1571
3300035675 assembled Ga0316618_00455528_2_1432
3300035675 assembled Ga0316618_00700362_152_1360
3300033414 assembled Ga0316619_102758071
3300033480 assembled Ga0316620_100568601
3300033480 assembled Ga0316620_102170711
3300033480 assembled Ga0316620_102784271
3300033416 assembled Ga0316622_10000594810
3300033416 assembled Ga0316622_1000162453
3300033416 assembled Ga0316622_1000539052
3300033416 assembled Ga0316622_1002367661
3300033416 assembled Ga0316622_1003135721
3300035676 assembled Ga0316623_00311922_43_1746
3300035676 assembled Ga0316623_00318808_389_1777
3300035676 assembled Ga0316623_00526837_39_1460
3300035676 assembled Ga0316623_00605114_9_1385
3300033486 assembled Ga0316624_100930302
3300033486 assembled Ga0316624_102414082
3300033486 assembled Ga0316624_102625201
3300033485 assembled Ga0316626_101038302
3300033485 assembled Ga0316626_102020411
3300033482 assembled Ga0316627_1001128662
3300033482 assembled Ga0316627_1001845302
3300033482 assembled Ga0316627_1002070361
3300033482 assembled Ga0316627_1002154771
3300033513 assembled Ga0316628_1000810664
3300033513 assembled Ga0316628_1002182331
3300033513 assembled Ga0316628_1003475981
3300033513 assembled Ga0316628_1004167391
3300033513 assembled Ga0316628_1004525472
3300033513 assembled Ga0316628_1005300901
3300033487 assembled Ga0316630_100382624
3300033487 assembled Ga0316630_100426502
3300033487 assembled Ga0316630_101336611
3300033487 assembled Ga0316630_101610311
3300031260 assembled Ga0325117_1024424
3300031260 assembled Ga0325117_1191734
3300031260 assembled Ga0325117_12975518
3300031260 assembled Ga0325117_1361156
3300031260 assembled Ga0325117_13816962
3300031260 assembled Ga0325117_1717259
3300031260 assembled Ga0325117_1827573
3300031260 assembled Ga0325117_1892952
3300031485 assembled Ga0325302_100972731
3300031485 assembled Ga0325302_103024344
3300031485 assembled Ga0325302_10613592
3300031485 assembled Ga0325302_10652491
3300031485 assembled Ga0325302_10674033
3300032192 assembled Ga0326297_100001162
3300032096 assembled Ga0326300_100017166
3300032098 assembled Ga0326302_1004021
3300032103 assembled Ga0326310_100011164
3300031985 assembled Ga0326318_100033214
3300032111 assembled Ga0326321_100004123
3300032111 assembled Ga0326321_100005160
3300032113 assembled Ga0326323_100012813
3300031919 assembled Ga0326327_100000965
3300031919 assembled Ga0326327_10000765
3300031919 assembled Ga0326327_100015012
3300031919 assembled Ga0326327_10007605
3300031919 assembled Ga0326327_10039241
3300031919 assembled Ga0326327_10048554
3300031920 assembled Ga0326328_100001022
3300031920 assembled Ga0326328_100023441
3300031920 assembled Ga0326328_100026274
3300031921 assembled Ga0326329_100000124
3300031921 assembled Ga0326329_10002755
3300031926 assembled Ga0326334_10012032
3300031987 assembled Ga0326338_10001422
3300032176 assembled Ga0326351_10006669
3300031936 assembled Ga0326354_10020644
3300032021 assembled Ga0326356_10048331
3300031990 assembled Ga0326358_100020512
3300032191 assembled Ga0326360_10013535
3300031867 assembled Ga0326511_100115235
3300031867 assembled Ga0326511_100988242
3300032038 assembled Ga0326512_102394751
3300031760 assembled Ga0326513_100405103
3300031853 assembled Ga0326514_100036831
3300031853 assembled Ga0326514_100112432
3300031853 assembled Ga0326514_101705961
3300034090 assembled Ga0326723_0000211_2_1405
3300034091 assembled Ga0326724_0000214_43983_45650
3300034091 assembled Ga0326724_0001958_19774_21459
3300034091 assembled Ga0326724_0021379_1674_3326
3300034091 assembled Ga0326724_0026158_2285_3973
3300034091 assembled Ga0326724_0031643_14_1390
3300034091 assembled Ga0326724_0037622_687_2363
3300034091 assembled Ga0326724_0056703_30_1715
3300034091 assembled Ga0326724_0085599_2_1642
3300034091 assembled Ga0326724_0168716_1_1275
3300035679 assembled Ga0326725_0028403_926_2614
3300033433 assembled Ga0326726_1000063923
3300033433 assembled Ga0326726_100099831
3300033433 assembled Ga0326726_100318322
3300033433 assembled Ga0326726_100732822
3300033433 assembled Ga0326726_101067661
3300033433 assembled Ga0326726_101870401
3300033433 assembled Ga0326726_103079761
3300033405 assembled Ga0326727_1000041089
3300033405 assembled Ga0326727_10000742125
3300033405 assembled Ga0326727_1000221466
3300033405 assembled Ga0326727_1000310569
3300033405 assembled Ga0326727_1000533535
3300033405 assembled Ga0326727_1001055516
3300033405 assembled Ga0326727_100460663
3300033405 assembled Ga0326727_100544406
3300033405 assembled Ga0326727_100662484
3300033405 assembled Ga0326727_100908055
3300033405 assembled Ga0326727_100995572
3300033405 assembled Ga0326727_101431513
3300033405 assembled Ga0326727_101471831
3300033405 assembled Ga0326727_101718902
3300033405 assembled Ga0326727_101894252
3300033405 assembled Ga0326727_102216371
3300033405 assembled Ga0326727_102765371
3300033490 assembled Ga0326760_1000001560
3300033893 assembled Ga0326768_000088_1044_2873
3300033893 assembled Ga0326768_000088_7294_9105
