Gene ID
3300040953 assembled _HiSeq_06258350
3300014913 assembled _HiSeq_06372580
3300042086 assembled _HiSeq_11817000
3300040952 assembled 2206340840
3300042910 assembled 2227361004
3300040951 assembled 2227419380
3300035494 assembled 2227474494
3300035493 assembled 2228078211
3300027852 assembled 2231279928
3300002180 assembled 2231285994
3300013103 assembled 2231288273
3300033148 assembled 2231289933
3300027742 assembled 2244008158
3300035493 assembled AAW_1000056186
3300014914 assembled anas_10071211
3300014887 assembled ANASMECb_00065320
3300013885 assembled ANASMECb_00085030
3300013883 assembled ANASMECb_00408120
3300013881 assembled anastwen_10045223
3300013879 assembled ANME1215_00510810
3300010332 assembled ASA126_01818320
3300006094 assembled ASA129_01102430
3300013880 assembled B_all_v_01139240
3300013878 assembled B2nonrrna_1000055
3300013876 assembled B2nonrrna_1000065
3300006096 assembled B3_GZBA_v_00005570
3300025758 assembled B3_GZOS_V_00067770
8072716095 assembled b3_nosca_v_01006440
3300050342 assembled b3_nosca_v_01157460
3300006972 assembled B3_v_00041940
2682575398 assembled B3_v_00488810
3300035492 assembled B4_c_00537860
3300027852 assembled Ba1_10001874
3300042089 assembled Ba1_100026726
3300010332 assembled Ba1_100062212
3300002180 assembled Ba1_10012221
3300010264 assembled Ba1_10012615
3300037583 assembled Ba1_100140210
3300002481 assembled Ba1_100394021
3300009135 assembled Ba1_10098554
3300050342 assembled Ba2oil_10089231
3300001688 assembled Ba2oil_10102501
3300001682 assembled Ba2Water_10228053
3300047185 assembled Bac131567_10688117
3300045900 assembled BDMC2_00286450
2730023674 assembled BDMCk91_10732110
3300057014 assembled bg3kmer60_100014335
3300033150 assembled bg3kmer60_100040113
3300033148 assembled bg3kmer60_10006328
3300035659 assembled bg3kmer60_10231581
3300024353 assembled BMHB2_0081.00005840
3300058131 assembled BMHB2_0276.00000050
3300051162 assembled BMHB2_0344.00013690
3300051019 assembled BMHB2_0510.00005710
3300033150 assembled BMHB2_0551.00001890
3300032118 assembled BMHB2_0767.00004290
3300032118 assembled BMHB2_0823.00009910
3300032070 assembled BMHB2_0824.00009840
3300031885 assembled BMHB2_0825.00009270
3300031876 assembled BMHB2_0947.00009080
3300031707 assembled BMHB3_01847860
3300033150 assembled C3382575__gene_307130
3300005860 assembled CBMAllContigs1fna_57910
3300005573 assembled CBMAllContigs2fna_130230
3300042910 assembled Cc83DRAFT_10058685
3300033150 assembled Cf135DRAFT_100059283
3300027863 assembled chempool_10044222
3300050342 assembled chfe1id_1000019513
3300043541 assembled chfe1id_1000041023
3300042965 assembled chfe1id_100031874
3300042910 assembled chfe1id_1000604812
3300033893 assembled chfec4_1000043339
3300025546 assembled codie8draft_1000065186
3300013103 assembled codie8draft_1000110142
3300000866 assembled codie8draft_1000159163
3300034152 assembled codie8draft_1000159199
2774012914 assembled codie8draft_1000332176
3300021468 assembled codie8draft_1000332212
3300014911 assembled codie8draft_1000348121
2698439613 assembled codie8draft_101812910
3300033150 assembled CSTR_10090751
3300033141 assembled CSTRM36_10052921
3300033141 assembled CSTRM44_1041723
3300043544 assembled CSTRM48_10107911
3300005860 assembled Draft_00017132
3300005573 assembled Draft_00022242
3300001446 assembled Draft_000528727
2698435729 assembled Draft_00165191
3300060608 assembled Draft_00196721
