Gene ID	Locus Tag	Gene Product Name	Genome ID	Genome Name	Batch1	Gene Symbol	GenBank Accession	Chromosome	Start Coord	End Coord	Strand	DNA Sequence Length (bp)	Amino Acid Sequence Length (aa)	Locus Type	Is Pseudogene	Is Partial Gene	Add Date	Is Public	Sequencing Status	Transmembrane Helices	Signal Peptides	Scaffold ID	Scaffold External Accession	Scaffold Name	Scaffold Length (bp)	Scaffold GC %	Scaffold Read Depth	COG	Pfam	Tigrfam	SMART	SUPERFam	CATH FunFam	Enzyme	KO	IMG Term	MyIMG (self)	MyIMG (group)	MyIMG (public)	Alternative Contact Email	Alternative Contact Name	Alternative2 Contact Emails	Alternative2 Contact Names	Contact Email	Contact Name	Award DOI	Funding Program	Funding Year	Is Published	PMO Project ID	Pubmed ID	GenBank Anomalous Assembly	Genbank Anomalous Reason	NCBI Assembly Accession	NCBI Bioproject Accession	NCBI Biosample Accession	NCBI GenBank ID	Sequencing Depth	Sequencing Method	Sequencing Quality	Sequencing Status	Sequencing Strategy	Ecosystem	Ecosystem Category	Ecosystem Subtype	Ecosystem Type	Specific Ecosystem	Biotic Relationships	Cell Arrangement	Cell Shape	Culture Type	Cultured	Diseases	Energy Source	Gram Staining	Metabolism	Motility	Oxygen Requirement	Phenotype	Relevance	Sporulation	Temperature Range	Type Strain	Uncultured Type	Altitude In Meters	Chlorophyll Concentration	Depth In Meters	Elevation In Meters	Geographic Location	Habitat	Isolation	Isolation Country	Latitude	Longhurst Code	Longhurst Description	Longitude	Nitrate Concentration	Oxygen Concentration	pH	Pressure	Salinity	Salinity Concentration	Sample Collection Date	Sample Collection Temperature	Subsurface In Meters	HMP ID	Hospital Visits	Host Gender	Host Name	Medical Record Number	Sample Body Site	Sample Body Subsite	Proportal Ecotype	Proportal Isolation	Proportal Ocean	Proportal Station	Proportal WOA Dissolved Oxygen	Proportal WOA Nitrate	Proportal WOA Phosphate	Proportal WOA Salinity	Proportal WOA Silicate	Proportal WOA Temperature	
8075063192	Ga0439560_01_1069987_1071639	methyl-coenzyme M reductase alpha subunit	8075062002	Methanothermobacter sp. KEPCO-1	6				1069987	1071639	+	1653	550	CDS	No		2023-12-11	Yes	Finished			8075062002	Ga0439560_01	Ga0439560_01	1741029	48.47	1	COG4058===Methyl coenzyme M reductase, alpha subunit===1118.3	pfam02249===MCR_alpha===219.5<<>>pfam02745===MCR_alpha_N===496.9	TIGR03256===methyl-coenzyme M reductase, alpha subunit		48081===Methyl-coenzyme M reductase alpha and beta chain C-terminal domain<<>>55088===Methyl-coenzyme M reductase subunits	3.90.390.10===Methyl-coenzyme M Reductase; Chain A, domain 1<<>>1.20.840.10===Methyl-coenzyme M reductase, alpha/beta subunit, C-terminal<<>>3.30.70.470===unclassified	EC:2.8.4.1===Coenzyme-B sulfoethylthiotransferase.	KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]											No			No	0	GCA_008033705.1	PRJNA560152	SAMN12569397	CP042937		PacBio RS II	Level 6: Finished	Complete	Whole Genome Sequencing	Engineered	Bioreactor	Sludge	Anaerobic	Unclassified				Isolate	Yes																	South Korea: Seoul		Anaerobic digestion reactor	South Korea																	0											0	0	0	0	0	0	
8075063227	Ga0439560_01_1100879_1102540	methyl-coenzyme M reductase alpha subunit	8075062002	Methanothermobacter sp. KEPCO-1	6				1100879	1102540	+	1662	553	CDS	No		2023-12-11	Yes	Finished			8075062002	Ga0439560_01	Ga0439560_01	1741029	48.47	1	COG4058===Methyl coenzyme M reductase, alpha subunit===1160.8	pfam02745===MCR_alpha_N===483.2<<>>pfam02249===MCR_alpha===236.6	TIGR03256===methyl-coenzyme M reductase, alpha subunit		48081===Methyl-coenzyme M reductase alpha and beta chain C-terminal domain<<>>55088===Methyl-coenzyme M reductase subunits	1.20.840.10===Methyl-coenzyme M reductase, alpha/beta subunit, C-terminal<<>>3.90.390.10===Methyl-coenzyme M Reductase; Chain A, domain 1<<>>3.30.70.470===unclassified	EC:2.8.4.1===Coenzyme-B sulfoethylthiotransferase.	KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]											No			No	0	GCA_008033705.1	PRJNA560152	SAMN12569397	CP042937		PacBio RS II	Level 6: Finished	Complete	Whole Genome Sequencing	Engineered	Bioreactor	Sludge	Anaerobic	Unclassified				Isolate	Yes																	South Korea: Seoul		Anaerobic digestion reactor	South Korea																	0											0	0	0	0	0	0	
8075065495	Ga0439678_01_1446889_1448541	methyl-coenzyme M reductase alpha subunit	8075063904	Methanothermobacter sp. THM-1	6				1446889	1448541	-	1653	550	CDS	No		2023-12-11	Yes	Finished			8075063904	Ga0439678_01	Ga0439678_01	1724502	48.59	1	COG4058===Methyl coenzyme M reductase, alpha subunit===1127.1	pfam02745===MCR_alpha_N===496.3<<>>pfam02249===MCR_alpha===223.5	TIGR03256===methyl-coenzyme M reductase, alpha subunit		55088===Methyl-coenzyme M reductase subunits<<>>48081===Methyl-coenzyme M reductase alpha and beta chain C-terminal domain	3.30.70.470===unclassified<<>>1.20.840.10===Methyl-coenzyme M reductase, alpha/beta subunit, C-terminal<<>>3.90.390.10===Methyl-coenzyme M Reductase; Chain A, domain 1	EC:2.8.4.1===Coenzyme-B sulfoethylthiotransferase.	KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]											No			No	0	GCA_009914355.1	PRJNA562797	SAMN12650760	CP044013		PacBio RS II	Level 6: Finished	Complete	Whole Genome Sequencing	Engineered	Bioreactor	Sludge	Anaerobic	Unclassified				Isolate	Yes								Industrial									South Korea: Seoul		Anaerobic digestion reactor	South Korea																	0											0	0	0	0	0	0	
8071352457	Ga0439883_01_633948_635609	methyl-coenzyme M reductase alpha subunit	8071351734	Methanothermobacter sp. THM-2	6				633948	635609	+	1662	553	CDS	No		2023-12-11	Yes	Finished			8071351734	Ga0439883_01	Ga0439883_01	1697935	48.75	1	COG4058===Methyl coenzyme M reductase, alpha subunit===1159.9	pfam02249===MCR_alpha===236.6<<>>pfam02745===MCR_alpha_N===483.2	TIGR03256===methyl-coenzyme M reductase, alpha subunit		55088===Methyl-coenzyme M reductase subunits<<>>48081===Methyl-coenzyme M reductase alpha and beta chain C-terminal domain	3.30.70.470===unclassified<<>>1.20.840.10===Methyl-coenzyme M reductase, alpha/beta subunit, C-terminal<<>>3.90.390.10===Methyl-coenzyme M Reductase; Chain A, domain 1	EC:2.8.4.1===Coenzyme-B sulfoethylthiotransferase.	KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]											No			No	0	GCA_009917665.1	PRJNA562804	SAMN12650992	CP043480		PacBio RS II	Level 6: Finished	Complete	Whole Genome Sequencing	Engineered	Bioreactor	Sludge	Anaerobic	Unclassified				Isolate	Yes																	South Korea: Seoul		Anaerobic digestion reactor	South Korea																	0											0	0	0	0	0	0	
2653038558	Ga0100846_157173	 methyl-coenzyme M reductase, alpha subunit	2651869834	Methanosarcina flavescens E03.2	6	mcrA			197487	199202	-	1716	571	CDS	No		2016-03-01	Yes	Permanent Draft			2651908127	Ga0100846_157	Methanosarcina sp. E03.2 : Ga0100846_157	401326	41.40	1	COG4058===Methyl coenzyme M reductase, alpha subunit===969	pfam02745===MCR_alpha_N===483.6<<>>pfam02249===MCR_alpha===221.5	TIGR03256===methyl-coenzyme M reductase, alpha subunit				EC:2.8.4.1===Coenzyme-B sulfoethylthiotransferase.	KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]											Yes		26763977	No	0	GCA_001304615.1	PRJNA295508	SAMN04074913	LKAZ00000000		Illumina MiSeq		Complete	Whole Genome Sequencing	Engineered	Bioreactor	Sludge	Anaerobic	Unclassified				Isolate	Yes						Obligate anaerobe		Environmental		Mesophile	Yes						Germany		a biogas sludge sample from a full-scale commercial biogas plant fed with maize silage, cattle manure and dry poultry feces	Germany												45 C					0											0	0	0	0	0	0	
8071352420	Ga0439883_01_603060_604712	methyl-coenzyme M reductase alpha subunit	8071351734	Methanothermobacter sp. THM-2	6				603060	604712	+	1653	550	CDS	No		2023-12-11	Yes	Finished			8071351734	Ga0439883_01	Ga0439883_01	1697935	48.75	1	COG4058===Methyl coenzyme M reductase, alpha subunit===1122.4	pfam02249===MCR_alpha===221.3<<>>pfam02745===MCR_alpha_N===496.9	TIGR03256===methyl-coenzyme M reductase, alpha subunit		48081===Methyl-coenzyme M reductase alpha and beta chain C-terminal domain<<>>55088===Methyl-coenzyme M reductase subunits	3.30.70.470===unclassified<<>>3.90.390.10===Methyl-coenzyme M Reductase; Chain A, domain 1<<>>1.20.840.10===Methyl-coenzyme M reductase, alpha/beta subunit, C-terminal	EC:2.8.4.1===Coenzyme-B sulfoethylthiotransferase.	KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]											No			No	0	GCA_009917665.1	PRJNA562804	SAMN12650992	CP043480		PacBio RS II	Level 6: Finished	Complete	Whole Genome Sequencing	Engineered	Bioreactor	Sludge	Anaerobic	Unclassified				Isolate	Yes																	South Korea: Seoul		Anaerobic digestion reactor	South Korea																	0											0	0	0	0	0	0	
8075065460	Ga0439678_01_1416043_1417707	methyl-coenzyme M reductase alpha subunit	8075063904	Methanothermobacter sp. THM-1	6				1416043	1417707	-	1665	554	CDS	No		2023-12-11	Yes	Finished			8075063904	Ga0439678_01	Ga0439678_01	1724502	48.59	1	COG4058===Methyl coenzyme M reductase, alpha subunit===1150.8	pfam02745===MCR_alpha_N===483.4<<>>pfam02249===MCR_alpha===232.9	TIGR03256===methyl-coenzyme M reductase, alpha subunit		55088===Methyl-coenzyme M reductase subunits<<>>48081===Methyl-coenzyme M reductase alpha and beta chain C-terminal domain	3.90.390.10===Methyl-coenzyme M Reductase; Chain A, domain 1<<>>1.20.840.10===Methyl-coenzyme M reductase, alpha/beta subunit, C-terminal<<>>3.30.70.470===unclassified	EC:2.8.4.1===Coenzyme-B sulfoethylthiotransferase.	KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]											No			No	0	GCA_009914355.1	PRJNA562797	SAMN12650760	CP044013		PacBio RS II	Level 6: Finished	Complete	Whole Genome Sequencing	Engineered	Bioreactor	Sludge	Anaerobic	Unclassified				Isolate	Yes								Industrial									South Korea: Seoul		Anaerobic digestion reactor	South Korea																	0											0	0	0	0	0	0	
2982335521	Ga0575111_01_1404476_1406182	methyl-coenzyme M reductase alpha subunit	2982334219	Methanofollis formosanus DSM 15483	6				1404476	1406182	+	1707	568	CDS	No		2022-10-19	Yes	Finished			2982334219	Ga0575111_01	Ga0575111_01	2965921	60.32	1	COG4058===Methyl coenzyme M reductase, alpha subunit===999	pfam02745===MCR_alpha_N===504.2<<>>pfam02249===MCR_alpha===227.5	TIGR03256===methyl-coenzyme M reductase, alpha subunit		55088===Methyl-coenzyme M reductase subunits<<>>48081===Methyl-coenzyme M reductase alpha and beta chain C-terminal domain	3.30.70.470===unclassified<<>>3.90.390.10===Methyl-coenzyme M Reductase; Chain A, domain 1<<>>1.20.840.10===Methyl-coenzyme M reductase, alpha/beta subunit, C-terminal	EC:2.8.4.1===Coenzyme-B sulfoethylthiotransferase.	KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]					Mei-Chin Lai; Sheng-Chung Chen	mclai01@gmail.com; benbear.xe@gmail.com	Mei-Chin Lai; Sheng-Chung Chen				Yes		15774671, 35481773	No	0	GCA_019633745.1	PRJNA527005	SAMN11125589	CP037968		Illumina MiSeq	Level 6: Finished	Complete	Whole Genome Sequencing	Environmental	Aquatic	Unclassified	Aquaculture	Unclassified				Isolate	Yes			Gram-			Anaerobe				Mesophile	Yes						Taiwan, near Wang-gong	Aquatic, Ponds, Host	aquaculture fish pond	Taiwan	23.9689			120.3264								37 C					0											0	0	0	0	0	0	
2982335028	Ga0575111_01_876260_877966	methyl-coenzyme M reductase alpha subunit	2982334219	Methanofollis formosanus DSM 15483	6				876260	877966	+	1707	568	CDS	No		2022-10-19	Yes	Finished			2982334219	Ga0575111_01	Ga0575111_01	2965921	60.32	1	COG4058===Methyl coenzyme M reductase, alpha subunit===998.9	pfam02745===MCR_alpha_N===511.6<<>>pfam02249===MCR_alpha===221.9	TIGR03256===methyl-coenzyme M reductase, alpha subunit		48081===Methyl-coenzyme M reductase alpha and beta chain C-terminal domain<<>>55088===Methyl-coenzyme M reductase subunits	1.20.840.10===Methyl-coenzyme M reductase, alpha/beta subunit, C-terminal<<>>3.30.70.470===unclassified<<>>3.90.390.10===Methyl-coenzyme M Reductase; Chain A, domain 1	EC:2.8.4.1===Coenzyme-B sulfoethylthiotransferase.	KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]					Mei-Chin Lai; Sheng-Chung Chen	mclai01@gmail.com; benbear.xe@gmail.com	Mei-Chin Lai; Sheng-Chung Chen				Yes		15774671, 35481773	No	0	GCA_019633745.1	PRJNA527005	SAMN11125589	CP037968		Illumina MiSeq	Level 6: Finished	Complete	Whole Genome Sequencing	Environmental	Aquatic	Unclassified	Aquaculture	Unclassified				Isolate	Yes			Gram-			Anaerobe				Mesophile	Yes						Taiwan, near Wang-gong	Aquatic, Ponds, Host	aquaculture fish pond	Taiwan	23.9689			120.3264								37 C					0											0	0	0	0	0	0	
2835725823	Ga0399897_2214	methyl-coenzyme M reductase alpha subunit	2835723613	Methanosarcina sp. DH2	6				51227	52942	+	1716	571	CDS	No		2019-09-18	Yes	Permanent Draft			2835723619	Ga0399897_07	Ga0399897_07 : Methanosarcina sp. DH1	114232	42.74	1	COG4058===Methyl coenzyme M reductase, alpha subunit===1068.9	pfam02745===MCR_alpha_N===482.3<<>>pfam02249===MCR_alpha===220.8	TIGR03256===methyl-coenzyme M reductase, alpha subunit		55088===Methyl-coenzyme M reductase subunits<<>>48081===Methyl-coenzyme M reductase alpha and beta chain C-terminal domain	1.20.840.10===Methyl-coenzyme M reductase, alpha/beta subunit, C-terminal<<>>3.30.70.470===unclassified<<>>3.90.390.10===Methyl-coenzyme M Reductase; Chain A, domain 1	EC:2.8.4.1===Coenzyme-B sulfoethylthiotransferase.	KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]					Dawn Holmes	dholmes@wne.edu	Dawn Holmes				Yes		33931421	No	0	GCA_020804225.1	PRJNA561362	SAMN12616828	WJBI00000000		Illumina, Illumina HiSeq	Level 2: High-Quality Draft	Complete	Whole Genome Sequencing	Environmental	Terrestrial	Aquifer	Deep subsurface	Unclassified		Clusters		Isolate	Yes								Environmental									USA: Rifle, Colorado		uranium contaminated subsurface sediments from subsurface aquifer		39.5347			-107.7831													0											0	0	0	0	0	0	
