taxon_oid	NCBI Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID	NCBI Phylum	NCBI Class	NCBI Order	NCBI Family	NCBI Genus	NCBI Species	GTDB Domain	GTDB Phylum	GTDB Class	GTDB Order	GTDB Family	GTDB Genus	GTDB Species	ANI Cluster ID	ANI Cluster Type	IMG Release/Pipeline Version	IMG Submission ID	GOLD Analysis Project ID	GOLD Analysis Project Type	GOLD Sequencing Project ID	GOLD Study ID	Add Date	Assembly Method	Comments	Funding Agency	High Quality	Has Coverage	Is Public	NCBI Taxon ID	Public Release Date	NCBI Strain	Submission Type	User Access	Alternative Contact Email	Alternative Contact Name	Alternative2 Contact Emails	Alternative2 Contact Names	Contact Email	Contact Name	Award DOI	Funding Program	Funding Year	Is Published	PMO Project ID	Pubmed ID	GenBank Anomalous Assembly	Genbank Anomalous Reason	NCBI Assembly Accession	NCBI Bioproject Accession	NCBI Biosample Accession	NCBI GenBank ID	Sequencing Depth	Sequencing Method	Sequencing Quality	Sequencing Status	Sequencing Strategy	Ecosystem	Ecosystem Category	Ecosystem Subtype	Ecosystem Type	Specific Ecosystem	Biotic Relationships	Cell Arrangement	Cell Shape	Culture Type	Cultured	Diseases	Energy Source	Gram Staining	Metabolism	Motility	Oxygen Requirement	Phenotype	Relevance	Sporulation	Temperature Range	Type Strain	Uncultured Type	Altitude In Meters	Chlorophyll Concentration	Depth In Meters	Elevation In Meters	Geographic Location	Habitat	Isolation	Isolation Country	Latitude	Longhurst Code	Longhurst Description	Longitude	Nitrate Concentration	Oxygen Concentration	pH	Pressure	Salinity	Salinity Concentration	Sample Collection Date	Sample Collection Temperature	Subsurface In Meters	HMP ID	Hospital Visits	Host Gender	Host Name	Medical Record Number	Sample Body Site	Sample Body Subsite	Proportal Ecotype	Proportal Isolation	Proportal Ocean	Proportal Station	Proportal WOA Dissolved Oxygen	Proportal WOA Nitrate	Proportal WOA Phosphate	Proportal WOA Salinity	Proportal WOA Silicate	Proportal WOA Temperature	Genome Size  * assembled	Gene Count  * assembled	Scaffold Count  * assembled	Genome MetaBAT Bin Count  * assembled	Genome EukCC Bin Count  * assembled	CRISPR Count  * assembled	GC Count  * assembled	GC  * assembled	Coding Base Count  * assembled	Coding Base Count %  * assembled	CDS Count  * assembled	CDS %  * assembled	RNA Count  * assembled	RNA % * assembled	rRNA Count  * assembled	5S rRNA Count  * assembled	16S rRNA Count  * assembled	18S rRNA Count  * assembled	23S rRNA Count  * assembled	28S rRNA Count  * assembled	tRNA Count  * assembled	Other RNA Count  * assembled	Unchar Count	Unchar %	w/ Func Pred Count  * assembled	w/ Func Pred %  * assembled	w/o function prediction * assembled	w/o function prediction % * assembled	Paralogs Count	Paralogs %	COG Count  * assembled	COG %  * assembled	KOG Count	KOG %	Pfam Count  * assembled	Pfam %  * assembled	TIGRfam Count  * assembled	TIGRfam %  * assembled	Enzyme Count  * assembled	Enzyme %  * assembled	KEGG Count  * assembled	KEGG %  * assembled	Not KEGG Count  * assembled	Not KEGG %  * assembled	KO Count  * assembled	KO %  * assembled	Not KO Count  * assembled	Not KO %  * assembled	MetaCyc Count  * assembled	MetaCyc %  * assembled	Not MetaCyc Count  * assembled	Not MetaCyc %  * assembled	Signal Peptide Count	Signal Peptide %	Transmembrane Count	Transmembrane %	Horizontally Transferred Count	Horizontally Transferred %	Paralog Group Count	COG Cluster Count  * assembled	KOG Cluster Count	Pfam Cluster Count  * assembled	TIGRfam Cluster Count  * assembled	SMC Biosynthetic Gene Cluster Count * assembled	Predicted Viruses	Predicted Plasmids	Estimated Number of Genomes * assembled	Estimated Average Genome Size * assembled	Estimated number of genomes - Marker genes average * assembled	Estimated number of genomes - Marker genes median * assembled	Estimated number of genomes - Marker genes mode * assembled	Standard deviation of marker gene counts * assembled	CheckM2 Completeness	CheckM2 Contamination	JGI Project ID / ITS SP ID	ITS AP ID	ITS SP ID	ITS Proposal ID	ITS Proposal Name	SRA ID	SRA Run	JGI Data Utilization Status	GPTS Proposal ID	Number of Filtered Reads  * assembled	Number of Mapped Reads  * assembled	% Assembled Reads  * assembled	Total Filtered Bases  * assembled	Total Mapped Bases  * assembled	Average Coverage of Assembled Sequences  * assembled
2751185625	Bacteria	Permanent Draft	Anaerobic digester sludge microbial communities from Brisbane, Australia	Bacteroidales bacterium Bact_01	University of Queensland,  The University of Queensland	2751185625	Bacteroidota	Bacteroidia	Bacteroidales	unclassified	unclassified	Bacteroidales bacterium Bact_01	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Proteiniphilum	Unclassified			IMG Annotation Pipeline v.4.15.1	150024	Ga0154263	Metagenome-Assembled Genome	Gp0156646	Gs0121606	2017-09-11	CLC NGS Cell v. 6			No	No	Yes	1674815	2017-09-11	Bact_01	Primary											No			Yes	contaminated	GCA_001602775.1			LUYS00000000															No												Metagenomic																																							2088978	1967	493			1	944901	45.24	1891489	90.55	1940	98.63	27	1.37							20				1496	76.05	444	22.57	191	9.71	1017	51.7	297	15.1	1514	76.97	589	29.94	523	26.59	521	26.49	1419	72.14	882	44.84	1058	53.79	455	23.13	1485	75.5	158	8.03	424	21.56	527	26.79		771	254	1323	541		1	2							59.83	5.39	0														
2695421019	Archaea	Permanent Draft	Methane metabolism in the archaeal phylum Bathyarchaeota revealed by genome-centric metagenomics	Candidatus Bathyarchaeota archaeon BA1	University of Queensland	2695421019	Candidatus Bathyarchaeota	unclassified	unclassified	unclassified	unclassified	Candidatus Bathyarchaeota archaeon BA1	Archaea	Thermoproteota	Bathyarchaeia	B26-1	BA1	BA1	BA1 sp001399805			IMG Annotation Pipeline v.4.11.4	97037	Ga0136912	Metagenome-Assembled Genome	Gp0155420	Gs0121530	2016-09-17	CLC NGS Cell v. 7.5			No	No	Yes	1700835	2016-09-17	BA1	Primary											No			No		GCA_001399805.1			LIHJ00000000															No												Metagenomic																																							1931714	2494	89				909311	47.09	1558868	80.73	2468	98.96	26	1.04	2	1	1				24	0			1396	55.97	1072	42.98	466	18.68	1013	40.62	326	13.07	1450	58.14	488	19.57	485	19.45	524	21.01	1944	77.95	877	35.16	1591	63.79	420	16.84	2048	82.12	9	.36	343	13.75	1574	63.11		688	264	950	372										92.3	14.6	0														
2695421020	Archaea	Permanent Draft	Methane metabolism in the archaeal phylum Bathyarchaeota revealed by genome-centric metagenomics	Candidatus Bathyarchaeota archaeon BA2	University of Queensland	2695421020	Candidatus Bathyarchaeota	unclassified	unclassified	unclassified	unclassified	Candidatus Bathyarchaeota archaeon BA2	Archaea	Thermoproteota	Bathyarchaeia	B26-1	BA1	BA2	BA2 sp001399795			IMG Annotation Pipeline v.4.11.4	97038	Ga0136913	Metagenome-Assembled Genome	Gp0155420	Gs0121530	2016-09-17	CLC NGS Cell v. 7.5			No	No	Yes	1700836	2016-09-17	BA2	Primary											No			No		GCA_001399795.1			LIHK00000000															No												Metagenomic																																							1455689	1834	57				643434	44.2	1215466	83.5	1800	98.15	34	1.85	2	1	1				31	1			1104	60.2	696	37.95	272	14.83	885	48.26	301	16.41	1168	63.69	425	23.17	420	22.9	456	24.86	1344	73.28	744	40.57	1056	57.58	381	20.77	1419	77.37	8	.44	234	12.76	1244	67.83		691	271	919	393		1								92.47	3.48	0														
2773857644	Archaea	Permanent Draft	Metagenomics study of hot springs in Tengchong, Yunnan	Unclassified Hadesarchaeota JZ-2 bin_199	Beijing Novogene Bioinformatics Technology Co., Ltd	2773857644	Candidatus Hadarchaeota	Candidatus Hadarchaeia	unclassified	unclassified	unclassified	unclassified	Archaea	Hadarchaeota	Hadarchaeia	Hadarchaeales	WYZ-LMO6	WYZ-LMO6	Unclassified			IMG Annotation Pipeline v.4.16.1	182901	Ga0263248	Metagenome-Assembled Genome	Gp0266519	Gs0127627	2018-03-28		released by Zheng-shuang Hua		No	No	Yes	1775750	2019-09-17	JZ-2 bin_199	Primary											No																							No												Metagenomic																																							1235580	1375	20				771837	62.48	1171124	94.8	1336	97.16	39	2.84	1	1					38	0			1044	75.93	292	21.24	222	16.15	943	68.58			1079	78.47	451	32.8	414	30.11	445	32.36	891	64.8	708	51.49	628	45.67	371	26.98	965	70.18	10	.73	231	16.8	1107	80.51		769		963	448										92.37	.01	0														
2773857642	Archaea	Permanent Draft	Metagenomics study of hot springs in Tengchong, Yunnan	Unclassified Hadesarchaeota JZ-1 bin_103	Beijing Novogene Bioinformatics Technology Co., Ltd	2773857642	Candidatus Hadarchaeota	Candidatus Hadarchaeia	unclassified	unclassified	unclassified	unclassified	Archaea	Hadarchaeota	Hadarchaeia	Hadarchaeales	WYZ-LMO6	WYZ-LMO6	Unclassified			IMG Annotation Pipeline v.4.16.1	182899	Ga0263246	Metagenome-Assembled Genome	Gp0304335	Gs0127627	2018-03-28		released by Zheng-shuang Hua		No	No	Yes	1775750	2019-09-17	JZ-1 bin_103	Primary											No																							No												Metagenomic																																							948043	1097	63			1	527778	55.83	900481	95.25	1060	96.63	37	3.37	1	1					35	1			839	76.48	221	20.15	164	14.95	732	66.73			869	79.22	362	33	335	30.54	345	31.45	715	65.18	558	50.87	502	45.76	298	27.16	762	69.46	9	.82	174	15.86	896	81.68		608		798	370										81.18	.09	0														
2999999831	Archaea	Permanent Draft	Korarchaeum cryptofilum WS genome sequencing	Methanodesulfokores washburnensis MDKW	Montana State University	2999999831	Candidatus Korarchaeota	unclassified	unclassified	unclassified	Candidatus Methanodesulfokores	Candidatus Methanodesulfokores washburnensis	Archaea	Thermoproteota	Korarchaeia	Korarchaeales	Korarchaeaceae	Methanodesulfokores	Methanodesulfokores washburnensis	28295	singleton	IMG Annotation Pipeline v.5.1.13	292473	Ga0452726	Genome Analysis (Isolate)	Gp0504675	Gs0147280	2023-01-24	SPAdes v. 3.11			Yes	No	Yes	2478471	2023-01-24	MDKW	Primary											Yes		30833730	No		GCA_003947435.1	PRJNA492148	SAMN10094317	RCOS00000000		Illumina HiSeq		Complete	Whole Genome Sequencing	Environmental	Aquatic	Sediment	Thermal springs	Unclassified				Isolate	Yes								Environmental									USA: Wyoming		hot spring sediment	USA	44.76			-110.44																											2942065	3502	179			6	1261078	43	2617119	89.01	3447	98.43	53	1.51	3	1	1	0	1	0	48	2	2	.06	2103	60.05	1344	38.38	894	25.53	2125	60.68			1882	53.74	584	16.68	549	15.68	607	17.33	2840	81.1	1043	29.78			479	13.68	2968	84.75	36	1.03	788	22.5	1114	31.81		1145		1180	432										98.74	5.17	0														
2700988736	Archaea	Permanent Draft	Anaerobic digester, formation water and tailings sand microbial communities from various locations	Candidatus Methanomethylicus mesodigestus V2	University of Queensland	2700988736	Candidatus Methanomethylicota	Candidatus Methanomethylicia	Candidatus Methanomethylicales	Candidatus Methanomethylicaceae	Candidatus Methanomethylicus	Candidatus Methanomethylicus mesodigestus	Archaea	Thermoproteota	Methanomethylicia	Methanomethylicales	Methanomethylicaceae	Methanomethylicus	Methanomethylicus mesodigestus			IMG Annotation Pipeline v.4.12.0	98356	Ga0138507	Metagenome-Assembled Genome	Gp0156643	Gs0121605	2016-10-19	CLC NGS Cell v. 7			No	No	Yes	1867258	2016-10-19	V2	Primary											No			No		GCA_001717035.1			MAGT00000000															No												Metagenomic																																							1637224	1802	11			1	943441	57.63	1471052	89.85	1756	97.45	46	2.55	3	1	1		1		43	0			1291	71.64	465	25.8	293	16.26	1134	62.93	381	21.14	1330	73.81	503	27.91	447	24.81	458	25.42	1298	72.03	775	43.01	981	54.44	406	22.53	1350	74.92	43	2.39	386	21.42	275	15.26		865	312	1084	470										98.5	.92	0														
8012933652	Archaea	Finished	Lab enriched hot spring sediment microbial communities from Lower Culex Basin, Yellowstone National Park, WY, USA	Methanosuratincola verstraetei LCB70	Microbial Genome Sequencing Center (MiGS), Montana State University	8012933652	Candidatus Methanomethylicota	Candidatus Methanomethylicia	Candidatus Methanomethylicales	Candidatus Methanomethylicaceae	Candidatus Methanosuratincola	Candidatus Methanosuratincola sp.	Archaea	Thermoproteota	Methanomethylicia	Methanomethylicales	Methanomethylicaceae	Methanosuratincola	Methanosuratincola subterraneus			IMG Annotation Pipeline v.5.1.13	297674	Ga0597344	Metagenome-Assembled Genome	Gp0689935	Gs0160697	2023-03-21		released by Anthony Kohtz		No	No	Yes	2495426	2024-02-08	LCB70	Primary											No																							No												Metagenomic																																							1521743	1694	1			2	830974	55	1390386	91.37	1639	96.75	52	3.07	3	1	1	0	1	0	47	2	3	.18	1352	79.81	287	16.94	218	12.87	1362	80.4			1298	76.62	491	28.98	474	27.98	514	30.34	1125	66.41	864	51			432	25.5	1207	71.25	15	.89	348	20.54	1264	74.62		1004		1095	429										97.37	.25	0														
2700988731	Archaea	Permanent Draft	Anaerobic digester, formation water and tailings sand microbial communities from various locations	Candidatus Methanosuratincola petrocarbonis V4	University of Queensland	2700988731	Candidatus Methanomethylicota	Candidatus Methanomethylicia	Candidatus Methanomethylicales	Candidatus Methanomethylicaceae	Candidatus Methanosuratincola	Candidatus Methanosuratincola petrocarbonis	Archaea	Thermoproteota	Methanomethylicia	Methanomethylicales	Methanomethylicaceae	Methanosuratincola	Methanosuratincola petrocarbonis			IMG Annotation Pipeline v.4.12.0	98351	Ga0138511	Metagenome-Assembled Genome	Gp0156645	Gs0121605	2016-10-19	CLC NGS Cell v. 7			No	No	Yes	1867261	2016-10-19	V4	Primary											No			No		GCA_001717015.1			MAGV00000000															No												Metagenomic																																							1267584	1459	83			1	702411	55.8	1139022	90.49	1433	98.22	26	1.78	3		1		2		21	2			1077	73.82	356	24.4	199	13.64	846	57.98	288	19.74	1124	77.04	388	26.59	334	22.89	378	25.91	1055	72.31	606	41.54	827	56.68	309	21.18	1124	77.04	15	1.03	233	15.97	402	27.55		665	241	937	364		1								75.94	.65	0														
2773857648	Archaea	Permanent Draft	Metagenomics study of hot springs in Tengchong, Yunnan	Unclassified Verstraetearchaeota JZ-3 bin_106	Beijing Novogene Bioinformatics Technology Co., Ltd	2773857648	Candidatus Methanomethylicota	unclassified	unclassified	unclassified	unclassified	unclassified	Archaea	Thermoproteota	Methanomethylicia	Methanomethylicales	Methanomethylicaceae	WYZ-LMO10	Unclassified			IMG Annotation Pipeline v.4.16.1	182905	Ga0263252	Metagenome-Assembled Genome	Gp0304151	Gs0127627	2018-03-28		released by Zheng-shuang Hua		No	No	Yes	1915410	2019-09-17	JZ-3 bin_106	Primary											No																							No												Metagenomic																																							1331820	1537	49				622343	46.73	1196545	89.84	1493	97.14	44	2.86	3	1	1		1		39	2			1126	73.26	367	23.88	206	13.4	990	64.41			1174	76.38	466	30.32	379	24.66	419	27.26	1074	69.88	709	46.13	784	51.01	345	22.45	1148	74.69	6	.39	273	17.76	1226	79.77		784		993	443										89.48	.72	0														
