Gene ID,Locus Tag,Gene Product Name,Genome ID,Genome Name,Batch1,Scaffold ID
2037747002 assembled CBMAllContigs1fna_57910,CBMAllContigs1fna_57910,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2037747002,"Coalbed microbial communities from New Mexico, USA - 454AllContigs1fnal (*) (MER-FS) (assembled)",1,CBMAllContigs1fn_contig00672
2037747003 assembled CBMAllContigs2fna_130230,CBMAllContigs2fna_130230,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2037747003,"Coalbed microbial communities from New Mexico, USA - water sample 454AllContigs2fna (*) (MER-FS) (assembled)",1,CBMAllContigs2fn_contig01101
2048955004 assembled TAmothercontig_07410,TAmothercontig_07410,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2048955004,"Wastewater bioreactor microbial communities from Univ ogf Illinois, Urbana - Sample 414 (*) (MER-FS) (assembled)",1,TAmother_contig06518
2061766000 assembled BDMC2_00286450,BDMC2_00286450,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2061766000,"Benzene-degrading bioreactor microbial communities from Toronto, Ontario, Canada, that are methanogenic - September 2009 gDNA_4 v2 (version 2) (*) (MER-FS) (assembled)",1,BDMC2_contig04789
2061766007 assembled _HiSeq_06258350,_HiSeq_06258350,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2061766007,"Bovine rumen microbial communities fromthe University of Illinois at Urbana-Champaign, USA, that are switchgrass associated - Sample 470 (*) (MER-FS) (assembled)",1,rumenHiSeq_NODE_3566029_len_6194_cov_0_747820
2061766007 assembled _HiSeq_11817000,_HiSeq_11817000,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2061766007,"Bovine rumen microbial communities fromthe University of Illinois at Urbana-Champaign, USA, that are switchgrass associated - Sample 470 (*) (MER-FS) (assembled)",1,rumenHiSeq_NODE_3992007_len_75042_cov_1_671424
2061766007 assembled _HiSeq_06372580,_HiSeq_06372580,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2061766007,"Bovine rumen microbial communities fromthe University of Illinois at Urbana-Champaign, USA, that are switchgrass associated - Sample 470 (*) (MER-FS) (assembled)",1,rumenHiSeq_NODE_3667652_len_7129_cov_0_952167
2065487002 assembled mockstg_il_velvet_00574890,mockstg_il_velvet_00574890,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2065487002,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community - Mock Staggered Illumina PE Velve (*) (MER-FS) (assembled)",1,mockstg_il_velvet_contig_1523
2065487003 assembled mockstg_il_soap_00008840,mockstg_il_soap_00008840,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2065487003,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community - Mock Staggered Illumina SOAP (*) (MER-FS) (assembled)",1,mockstg_il_soap_contig_270
2065487003 assembled mockstg_il_soap_00452120,mockstg_il_soap_00452120,"methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)",2065487003,"Human fecal microbial communities from Baylor College of Medicine, Texas, USA, mock community - Mock Staggered Illumina SOAP (*) (MER-FS) (assembled)",1,mockstg_il_soap_contig_762
