Scaffold ID,Scaffold Original ID,Scaffold Name,IMG Genome ID (IMG Taxon ID),Genome Name / Sample Name,Scaffold Topology,NCBI Molecular Type,Scaffold Gene Count,Scaffold Nucleotide Length (bp),Scaffold GC Content,Scaffold Read Depth,NCBI Domain,NCBI Phylum,NCBI Class,NCBI Order,NCBI Family,NCBI Genus,NCBI Species,NCBI Lineage,NCBI Lineage Percentage,GTDB Domain,GTDB Phylum,GTDB Class,GTDB Order,GTDB Family,GTDB Genus,GTDB Species,GTDB Lineage,GTDB Lineage Percentage,In MetaBAT Bins,MetaBAT Bins,In EukCC Bins,EukCC Bins,Topology,vOTU,Viral Lineage,Quality,Completeness,High Confidence,Predicted Host Lineage,UViG ID,UViG Count,Topology,pOTU,MPF,Source,geNomad Score,Predicted Host Lineage,Plasmid ID,Plasmid Count,Ecosystem,Ecosystem Category,Ecosystem Type,Ecosystem Subtype,Specific Ecosystem,Habitat,Host Name
637000398,,Methanosarcina barkeri str. fusaro chromosome 1: NC_007355,637000162,Methanosarcina barkeri Fusaro,circular,chromosome,3810,4837408,39.28,,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri,Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina; Methanosarcina barkeri,,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri_B,Archaea; Halobacteriota; Methanosarcinia; Methanosarcinales; Methanosarcinaceae; Methanosarcina; Methanosarcina barkeri_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637000472,,Methanosphaera stadtmanae DSM 3091: NC_007681,637000163,Methanosphaera stadtmanae DSM 3091,circular,chromosome,1592,1767403,27.63,,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera stadtmanae,Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanosphaera; Methanosphaera stadtmanae,,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera stadtmanae,Archaea; Methanobacteriota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanosphaera; Methanosphaera stadtmanae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637000502,,Methanospirillum hungatei JF-1: NC_007796,637000164,Methanospirillum hungatei JF-1,circular,chromosome,3307,3544738,45.15,,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum hungatei,Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobiales; Methanospirillaceae; Methanospirillum; Methanospirillum hungatei,,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum hungatei,Archaea; Halobacteriota; Methanomicrobia; Methanomicrobiales; Methanospirillaceae; Methanospirillum; Methanospirillum hungatei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637000529,,Methanococcoides burtonii DSM 6242: NC_007955,637000161,Methanococcoides burtonii DSM 6242,circular,chromosome,2506,2575032,40.76,,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides burtonii,Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanococcoides; Methanococcoides burtonii,,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides burtonii,Archaea; Halobacteriota; Methanosarcinia; Methanosarcinales; Methanosarcinaceae; Methanococcoides; Methanococcoides burtonii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638154500,,Methanobacterium thermoautotrophicum str. Delta H: AE000666,638154510,Methanothermobacter thermautotrophicus Delta H,circular,Chromosome,1893,1751377,49.54,,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Methanothermobacter thermautotrophicus,Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanothermobacter; Methanothermobacter thermautotrophicus,,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanothermobacteraceae,Methanothermobacter,Methanothermobacter thermautotrophicus,Archaea; Methanobacteriota; Methanobacteria; Methanobacteriales; Methanothermobacteraceae; Methanothermobacter; Methanothermobacter thermautotrophicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638154504,,Methanosarcina mazei strain Goe1: AE008384,638154509,Methanosarcina mazei Go1,circular,Chromosome,3469,4096345,41.48,,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina; Methanosarcina mazei,,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Archaea; Halobacteriota; Methanosarcinia; Methanosarcinales; Methanosarcinaceae; Methanosarcina; Methanosarcina mazei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638154505,,Methanopyrus kandleri AV19: AE009439,638154507,Methanopyrus kandleri AV19,circular,Chromosome,1766,1694969,61.16,,Archaea,Euryarchaeota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,Methanopyrus kandleri,Archaea; Euryarchaeota; Methanopyri; Methanopyrales; Methanopyraceae; Methanopyrus; Methanopyrus kandleri,,Archaea,Methanobacteriota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,Methanopyrus kandleri,Archaea; Methanobacteriota; Methanopyri; Methanopyrales; Methanopyraceae; Methanopyrus; Methanopyrus kandleri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638154508,,Methanosarcina acetivorans str. C2A: AE010299,638154508,Methanosarcina acetivorans C2A,circular,Chromosome,4807,5751492,42.68,,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina acetivorans,Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina; Methanosarcina acetivorans,,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina acetivorans,Archaea; Halobacteriota; Methanosarcinia; Methanosarcinales; Methanosarcinaceae; Methanosarcina; Methanosarcina acetivorans,,,,,,Provirus,vOTU_08530116,r__Duplodnaviria; k__Heunggongvirae; p__Uroviricota; c__Caudoviricetes; ; ; ; ,Medium,59.8,YES,d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__Methanosarcina acetivorans,IMGVR_UViG_638154508_000001,1,,,,,,,,,,,,,,,
638154520,,Methanocaldococcus jannaschii DSM 2661: NC_000909,638154505,Methanocaldococcus jannaschii DSM 2661,circular,chromosome,1787,1664970,31.43,,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus jannaschii,Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanocaldococcaceae; Methanocaldococcus; Methanocaldococcus jannaschii,,Archaea,Methanobacteriota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus jannaschii,Archaea; Methanobacteriota; Methanococci; Methanococcales; Methanocaldococcaceae; Methanocaldococcus; Methanocaldococcus jannaschii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639633055,,Methanosaeta thermophila PT: NC_008553,639633038,Methanothrix thermoacetophila PT,circular,chromosome,1785,1879471,53.55,,Archaea,Euryarchaeota,Methanomicrobia,Methanotrichales,Methanotrichaceae,Methanothrix,Methanothrix thermoacetophila,Archaea; Euryarchaeota; Methanomicrobia; Methanotrichales; Methanotrichaceae; Methanothrix; Methanothrix thermoacetophila,,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanothrix_B,Methanothrix_B thermoacetophila,Archaea; Halobacteriota; Methanosarcinia; Methanotrichales; Methanotrichaceae; Methanothrix_B; Methanothrix_B thermoacetophila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
