GeneCart_GenomeID,1,Gene ID,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID,NCBI Phylum,NCBI Class,NCBI Order,NCBI Family,NCBI Genus,Ecosystem,Ecosystem Category,Ecosystem Type,Ecosystem Subtype,Specific Ecosystem,,Habitat,NCBI Species
3300040953,assembled,_HiSeq_06258350,Permanent Draft,"Sediment microbial communities from Haima cold seep, South China Sea, China","Sediment microbial communities from Haima cold seep, South China Sea, China - SY70.5.5_HM2M","Magigene technology co., LTD.",3300040953,Environmental,Aquatic,Marine,Cold seeps,Sediment,Environmental,Aquatic,Marine,Cold seeps,Sediment,,Sediment,"Sediment microbial communities from Haima cold seep, South China Sea, China"
3300014913,assembled,_HiSeq_06372580,Permanent Draft,"Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico","Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico - Guay1, Core 4569-9, 0-3 cm",DOE Joint Genome Institute  (JGI),3300014913,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,,marine sediment,"Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico"
3300042086,assembled,_HiSeq_11817000,Permanent Draft,"Sediment microbial communities from Haima cold seep, South China Sea, China","Sediment microbial communities from Haima cold seep, South China Sea, China - SY70.4.3_HM2C",Shanghai Majorbio Bio-pharm Technology Co.,3300042086,Environmental,Aquatic,Marine,Cold seeps,Sediment,Environmental,Aquatic,Marine,Cold seeps,Sediment,,Sediment,"Sediment microbial communities from Haima cold seep, South China Sea, China"
3300040952,assembled,2206340840,Permanent Draft,"Sediment microbial communities from Haima cold seep, South China Sea, China","Sediment microbial communities from Haima cold seep, South China Sea, China - SY70.5.8_HM2M","Magigene technology co., LTD.",3300040952,Environmental,Aquatic,Marine,Cold seeps,Sediment,Environmental,Aquatic,Marine,Cold seeps,Sediment,,Sediment,"Sediment microbial communities from Haima cold seep, South China Sea, China"
3300042910,assembled,2227361004,Permanent Draft,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States","Hot spring sediment microbial communities from Yellowstone National Park, WY, United States - YNP-CB-052-1 (PacBio)",DOE Joint Genome Institute  (JGI),3300042910,Environmental,Aquatic,Thermal springs,Hot (42-90C),Sediment,Environmental,Aquatic,Thermal springs,Hot (42-90C),Sediment,,sediment,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States"
3300040951,assembled,2227419380,Permanent Draft,"Sediment microbial communities from Haima cold seep, South China Sea, China","Sediment microbial communities from Haima cold seep, South China Sea, China - SY70.5.12_HM2M","Magigene technology co., LTD.",3300040951,Environmental,Aquatic,Marine,Cold seeps,Sediment,Environmental,Aquatic,Marine,Cold seeps,Sediment,,Sediment,"Sediment microbial communities from Haima cold seep, South China Sea, China"
3300035494,assembled,2227474494,Permanent Draft,Methane metabolizing microbial communities from different methane-rich environments from various locations,"Tar microbial communities from Pitch Lake, Trinidad and Tobago - PitchLake_TarD_star",DOE Joint Genome Institute  (JGI),3300035494,Environmental,Terrestrial,Asphalt lakes,Tar,Unclassified,Environmental,Terrestrial,Asphalt lakes,Tar,Unclassified,,tar,Methane metabolizing microbial communities from different methane-rich environments from various locations
3300035493,assembled,2228078211,Permanent Draft,Methane metabolizing microbial communities from different methane-rich environments from various locations,"Tar microbial communities from Pitch Lake, Trinidad and Tobago - PitchLake_TarD",DOE Joint Genome Institute  (JGI),3300035493,Environmental,Terrestrial,Asphalt lakes,Tar,Unclassified,Environmental,Terrestrial,Asphalt lakes,Tar,Unclassified,,tar,Methane metabolizing microbial communities from different methane-rich environments from various locations
3300027852,assembled,2231279928,Permanent Draft,Marine microbial communities from the Santa Barbara Channel oil seeps,"Oil polluted marine microbial communities from Coal Oil Point, Santa Barbara, California, USA - Sample 7 (SPAdes) (version 2)",DOE Joint Genome Institute  (JGI),3300027852,Environmental,Aquatic,Marine,Oil seeps,Unclassified,Environmental,Aquatic,Marine,Oil seeps,Unclassified,,Marine,Marine microbial communities from the Santa Barbara Channel oil seeps
3300002180,assembled,2231285994,Permanent Draft,Marine microbial communities from the Santa Barbara Channel oil seeps,"Oil polluted marine microbial communities from Coal Oil Point, Santa Barbara, California, USA - Sample 7",DOE Joint Genome Institute  (JGI),3300002180,Environmental,Aquatic,Marine,Oil seeps,Unclassified,Environmental,Aquatic,Marine,Oil seeps,Unclassified,,Marine,Marine microbial communities from the Santa Barbara Channel oil seeps
3300013103,assembled,2231288273,Permanent Draft,"Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico","Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico - Guay9, Core 4571-4, 0-3 cm",DOE Joint Genome Institute  (JGI),3300013103,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,,marine sediment,"Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico"
3300033148,assembled,2231289933,Permanent Draft,"Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico","Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico - Megamat, Core 4486-22, Meg22, 8-10 cm",Michigan State University,3300033148,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,,marine sediment,"Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico"
3300027742,assembled,2244008158,Permanent Draft,Marine microbial communities from the Santa Barbara Channel oil seeps,"Oil polluted marine microbial communities from Coal Oil Point, Santa Barbara, California, USA - Sample 3 (SPAdes) (version 2)",DOE Joint Genome Institute  (JGI),3300027742,Environmental,Aquatic,Marine,Oil seeps,Unclassified,Environmental,Aquatic,Marine,Oil seeps,Unclassified,,Marine,Marine microbial communities from the Santa Barbara Channel oil seeps
3300035493,assembled,AAW_1000056186,Permanent Draft,Methane metabolizing microbial communities from different methane-rich environments from various locations,"Tar microbial communities from Pitch Lake, Trinidad and Tobago - PitchLake_TarD",DOE Joint Genome Institute  (JGI),3300035493,Environmental,Terrestrial,Asphalt lakes,Tar,Unclassified,Environmental,Terrestrial,Asphalt lakes,Tar,Unclassified,,tar,Methane metabolizing microbial communities from different methane-rich environments from various locations
3300014914,assembled,anas_10071211,Permanent Draft,"Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico","Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico - Guay2, Core 4569-9, 9-12 cm",DOE Joint Genome Institute  (JGI),3300014914,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,,marine sediment,"Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico"
3300014887,assembled,ANASMECb_00065320,Permanent Draft,"Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico","Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico - Guay17, Core 4571-4, 12-15 cm",DOE Joint Genome Institute  (JGI),3300014887,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,,marine sediment,"Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico"
3300013885,assembled,ANASMECb_00085030,Permanent Draft,Microbial communities from methanogenic microcosms from oil petroleum samples,"laboratory microbial enrichments from Reconcavo Basin petroleum reservoir, Newcastle Upon Tyne, UK - Enrich1 Enrich 1",UNIVERSIDADE DE SAO PAULO,3300013885,Engineered,Lab enrichment,Defined media,Anaerobic media,Unclassified,Engineered,Lab enrichment,Defined media,Anaerobic media,Unclassified,,Laboratory microcosms,Microbial communities from methanogenic microcosms from oil petroleum samples
3300013883,assembled,ANASMECb_00408120,Permanent Draft,Microbial communities from methanogenic microcosms from oil petroleum samples,"laboratory microbial enrichments from Reconcavo Basin petroleum reservoir, Newcastle Upon Tyne, UK - 15 gl 40C L2 15gl 40C L2",UNIVERSIDADE DE SAO PAULO,3300013883,Engineered,Lab enrichment,Defined media,Anaerobic media,Unclassified,Engineered,Lab enrichment,Defined media,Anaerobic media,Unclassified,,Laboratory microcosms,Microbial communities from methanogenic microcosms from oil petroleum samples
3300013881,assembled,anastwen_10045223,Permanent Draft,Microbial communities from methanogenic microcosms from oil petroleum samples,"laboratory microbial enrichments from Reconcavo Basin petroleum reservoir, Newcastle Upon Tyne, UK - DNA Enri 2 DNA Enri2",UNIVERSIDADE DE SAO PAULO,3300013881,Engineered,Lab enrichment,Defined media,Anaerobic media,Unclassified,Engineered,Lab enrichment,Defined media,Anaerobic media,Unclassified,,Laboratory microcosms,Microbial communities from methanogenic microcosms from oil petroleum samples
3300013879,assembled,ANME1215_00510810,Permanent Draft,Microbial communities from methanogenic microcosms from oil petroleum samples,"laboratory microbial enrichments from Reconcavo Basin petroleum reservoir, Newcastle Upon Tyne, UK - 15 gl 50C L1 15gl 50C L1",UNIVERSIDADE DE SAO PAULO,3300013879,Engineered,Lab enrichment,Defined media,Anaerobic media,Unclassified,Engineered,Lab enrichment,Defined media,Anaerobic media,Unclassified,,Laboratory microcosms,Microbial communities from methanogenic microcosms from oil petroleum samples
3300010332,assembled,ASA126_01818320,Permanent Draft,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II),"Marine hydrothermal vent microbial communities from Guaymas Basin, Gulf of California to study Microbial Dark Matter (Phase II) - Marker 14 Mat core 4571-4 3-6 cm metaG",DOE Joint Genome Institute  (JGI),3300010332,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,Environmental,Aquatic,Marine,Hydrothermal vents,Sediment,,Marine hydrothermal vent,Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)
