Gene ID
2061766007 assembled _HiSeq_06258350
2061766007 assembled _HiSeq_06372580
2061766007 assembled _HiSeq_11817000
2199352030 assembled 2206340840
2225789003 assembled 2227361004
2225789003 assembled 2227419380
2225789004 assembled 2227474494
2225789004 assembled 2228078211
2228664010 assembled 2231279928
2228664010 assembled 2231285994
2228664010 assembled 2231288273
2228664010 assembled 2231289933
2236876020 assembled 2244008158
3300000494 assembled AAW_1000056186
3300001863 assembled anas_10071211
2199034002 assembled ANASMECb_00065320
2199034002 assembled ANASMECb_00085030
2199034002 assembled ANASMECb_00408120
3300001862 assembled anastwen_10045223
2140918003 assembled ANME1215_00510810
2077657014 assembled ASA126_01818320
2084038021 assembled ASA129_01102430
2140918024 assembled B_all_v_01139240
3300001674 assembled B2nonrrna_1000055
3300001674 assembled B2nonrrna_1000065
2124908037 assembled B3_GZBA_v_00005570
2140918009 assembled B3_GZOS_V_00067770
2140918025 assembled b3_nosca_v_01006440
2140918025 assembled b3_nosca_v_01157460
2124908039 assembled B3_v_00041940
