Gene ID,Locus Tag,Gene Product Name,Genome ID,Genome Name,Batch1,DNA Sequence Length (bp),Amino Acid Sequence Length (aa),Scaffold ID,Scaffold External Accession,Scaffold Name,Scaffold Length (bp),Scaffold GC %,Scaffold Read Depth,COG,KO,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Specific Ecosystem,Habitat,Nitrate Concentration,Oxygen Concentration,pH,Salinity
3300005472 assembled Ga0074280_13113,Ga0074280_13113,hypothetical protein,3300005472,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site L1 Cattail v2 (version 2) (*) (MER-FS) (assembled)",1,1689,563,Ga0074280_131,,Ga0074280_131,18150,0.57,186,"COG4058===Methyl coenzyme M reductase, alpha subunit===890",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Wetlands,Marine,Sediment,Wetland,,,,
3300000558 assembled Draft_100495592,Draft_100495592,"Methyl coenzyme M reductase, alpha subunit",3300000558,"Wastewater microbial communities from Syncrude, Ft. McMurray, Alberta - West In Pit SyncrudeMLSB2011 (*) (MER-FS) (assembled)",1,1266,422,Draft_10049559,,Draft_10049559,1913,0.61,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===644",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Wastewater,Petrochemical,Industrial wastewater,Unclassified,Hydrocarbon resource environments,,,,
3300005573 assembled Ga0078972_100176627,Ga0078972_100176627,"Methyl coenzyme M reductase, alpha subunit",3300005573,"Hot spring thermophilic microbial communities from Obsidian Pool, Yellowstone National Park, USA - OP-RAMG-01 (SPADES assembly) (version 2) (*) (MER-FS) (assembled)",1,1665,555,Ga0078972_1001766,,Ga0078972_1001766,77803,0.42,18,"COG4058===Methyl coenzyme M reductase, alpha subunit===913",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Hot (42-90C),Thermal springs,Unclassified,Hot spring,,,,
3300005697 assembled Ga0074229_1070321,Ga0074229_1070321,"Methyl coenzyme M reductase, alpha subunit",3300005697,"Human fecal microbial communities J Craig Venter Institute, Maryland, USA - Subject 8 (*) (MER-FS) (assembled)",1,1584,528,Ga0074229_107032,,Ga0074229_107032,6841,0.37,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===906",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Host-associated,Mammals: Human,Large intestine,Digestive system,Fecal,Human fecal,,,,
3300001580 assembled Draft_100791082,Draft_100791082,"Methyl coenzyme M reductase, alpha subunit",3300001580,"Wastewater microbial communities from Syncrude, Ft. McMurray, Alberta - Microbes from Suncor taillings pond 6 2012TP6_6 (*) (MER-FS) (assembled)",1,1653,551,Draft_10079108,,Draft_10079108,1870,0.46,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===962",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Wastewater,Petrochemical,Industrial wastewater,Unclassified,Hydrocarbon resource environments,,,6.8-7.1,
3300006447 assembled Ga0100194_12221323,Ga0100194_12221323,"Methyl coenzyme M reductase, alpha subunit",3300006447,"Microbial communities from pig manure storage tank from Sherbrooke, QC, Canada, enriched culture A4 (*) (MER-FS) (assembled)",1,1707,569,Ga0100194_122213,,Ga0100194_122213,20360,0.61,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===879",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Solid waste,Unclassified,Animal waste,Unclassified,Manure,,,,
3300005326 assembled Ga0074195_100088342,Ga0074195_100088342,"Methyl coenzyme M reductase, alpha subunit",3300005326,"Bioremediated contaminated groundwater from EPA Superfund site, New Mexico - Sample HSE6-23 (*) (MER-FS) (assembled)",1,1680,560,Ga0074195_1000883,,Ga0074195_1000883,49760,0.52,56,"COG4058===Methyl coenzyme M reductase, alpha subunit===859",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Groundwater,Deep subsurface,Contaminated,Bioremediated contaminated groundwater,,,,
3300005573 assembled Ga0078972_1000747111,Ga0078972_1000747111,"Methyl coenzyme M reductase, alpha subunit",3300005573,"Hot spring thermophilic microbial communities from Obsidian Pool, Yellowstone National Park, USA - OP-RAMG-01 (SPADES assembly) (version 2) (*) (MER-FS) (assembled)",1,1671,557,Ga0078972_1000747,,Ga0078972_1000747,133459,0.55,24,"COG4058===Methyl coenzyme M reductase, alpha subunit===925",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Hot (42-90C),Thermal springs,Unclassified,Hot spring,,,,
3300003535 assembled Ba1_100394021,Ba1_100394021,"Methyl coenzyme M reductase, alpha subunit",3300003535,"Petroleum reservoir microbial communities from Reconcavo Basin, Brazil, analyzing oil degradation - Bahia-well BA- 1 (*) (MER-FS) (assembled)",1,1680,560,Ba1_1003940,,Ba1_1003940,27185,0.53,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===887",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Oil,Oil reservoir,Unclassified,Petroleum reservoir ,,,,
3300006670 assembled Ga0101737_1036491,Ga0101737_1036491,"Methyl coenzyme M reductase, alpha subunit",3300006670,"T14 (3) (Live), Syntrophic microbial communities from anoxic layer of the sediment of River Tyne near Scotswood, United Kingdom - benzoate enriched in lab, transferred 6 times (*) (MER-FS) (assembled)",1,1536,512,Ga0101737_103649,,Ga0101737_103649,2416,0.62,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===850",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,River,Freshwater,Sediment,Sediment,,,,
