Gene ID,Locus Tag,Gene Product Name,Genome ID,Genome Name,Batch1,DNA Sequence Length (bp),Amino Acid Sequence Length (aa),Scaffold ID,Scaffold External Accession,Scaffold Name,Scaffold Length (bp),Scaffold GC %,Scaffold Read Depth,COG,KO,NCBI Assembly Accession,NCBI Bioproject Accession,NCBI Biosample Accession,NCBI GenBank ID,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Specific Ecosystem,Habitat,Nitrate Concentration,Oxygen Concentration,pH,Salinity
3300032156 assembled Ga0315295_104449731,Ga0315295_104449731,methyl coenzyme M reductase alpha subunit,3300032156,"Sediment microbial communities from Yellowstone Lake, YNP, Wyoming, USA - YL17G14_0 (*) (MER-FS) (assembled)",2,1314,438,Ga0315295_10444973,,Ga0315295_10444973,1318,0.43,4,"COG4058===Methyl coenzyme M reductase, alpha subunit===283.8",,,PRJNA539337,SAMN11532944,,Environmental,Aquatic,Lake,Freshwater,Sediment,sediment,,,,
3300001784 assembled JGI20225J20221_100038726,JGI20225J20221_100038726,"Methyl coenzyme M reductase, alpha subunit",3300001784,"Microbial communities from bioreactor (seeded with sewage sludge) at LBNL, California, USA - Biofuel metagenome 4 (*) (MER-FS) (assembled)",2,1713,571,JGI20225J20221_1000387,,JGI20225J20221_1000387,82737,0.41,93,"COG4058===Methyl coenzyme M reductase, alpha subunit===964",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA308495,SAMN04396145,,Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,Bioreactor,,,,
3300002172 assembled JGI24730J26740_10212711,JGI24730J26740_10212711,"Methyl coenzyme M reductase, alpha subunit",3300002172,"Bioremediated contaminated groundwater from EPA Superfund site, New Mexico - Sample SAE3-47 (*) (MER-FS) (assembled)",2,1380,460,JGI24730J26740_1021271,,JGI24730J26740_1021271,1381,0.51,15,"COG4058===Methyl coenzyme M reductase, alpha subunit===775",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA366143,SAMN06268376,,Environmental,Aquatic,Groundwater,Deep subsurface,Contaminated,Bioremediated contaminated groundwater,,,,
3300002172 assembled JGI24730J26740_10022035,JGI24730J26740_10022035,"Methyl coenzyme M reductase, alpha subunit",3300002172,"Bioremediated contaminated groundwater from EPA Superfund site, New Mexico - Sample SAE3-47 (*) (MER-FS) (assembled)",2,1692,564,JGI24730J26740_1002203,,JGI24730J26740_1002203,8482,0.47,32,"COG4058===Methyl coenzyme M reductase, alpha subunit===813",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA366143,SAMN06268376,,Environmental,Aquatic,Groundwater,Deep subsurface,Contaminated,Bioremediated contaminated groundwater,,,,
3300001749 assembled JGI24025J20009_1000060519,JGI24025J20009_1000060519,"Methyl coenzyme M reductase, alpha subunit",3300001749,"Oil polluted marine microbial communities from Coal Oil Point, Santa Barbara, California, USA - Sample 3 (*) (MER-FS) (assembled)",2,1689,563,JGI24025J20009_10000605,,JGI24025J20009_10000605,27771,0.54,58,"COG4058===Methyl coenzyme M reductase, alpha subunit===835",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA249643,SAMN02809797,,Environmental,Aquatic,Oil seeps,Marine,Unclassified,Marine,,,,
3300002515 assembled JGI24144J35610_100365621,JGI24144J35610_100365621,"Methyl coenzyme M reductase, alpha subunit",3300002515,"Arctic peat soil microbial communities from Barrow, Alaska - Barrow Graham LP Incubations 011-21A (*) (MER-FS) (assembled)",2,1266,422,JGI24144J35610_10036562,,JGI24144J35610_10036562,1310,0.55,26,"COG4058===Methyl coenzyme M reductase, alpha subunit===693",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA330166,SAMN05422028,,Environmental,Terrestrial,Wetlands,Soil,Peat,Arctic peat soil,,,,
3300000313 assembled WSSedB1CaDRAFT_100092142,WSSedB1CaDRAFT_100092142,"Methyl coenzyme M reductase, alpha subunit",3300000313,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Feb2011 Site B1 Cattail (*) (MER-FS) (assembled)",2,1689,563,WSSedB1CaDRAFT_10009214,,WSSedB1CaDRAFT_10009214,2482,0.54,76,"COG4058===Methyl coenzyme M reductase, alpha subunit===880",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA337850,SAMN05518602,,Environmental,Aquatic,Wetlands,Marine,Sediment,Wetland,,,,
3300002166 assembled JGI24713J26584_1000017647,JGI24713J26584_1000017647,"Methyl coenzyme M reductase, alpha subunit",3300002166,Biogas fermentation microbial communities from Germany - Plant 4 DNA1 (*) (MER-FS) (assembled),2,1653,551,JGI24713J26584_10000176,,JGI24713J26584_10000176,45090,0.49,111,"COG4058===Methyl coenzyme M reductase, alpha subunit===1025",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA311376,SAMN04486028,,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Biogas fermentantion,,,7.8,
3300001480 assembled rank13_100759991,rank13_100759991,"Methyl coenzyme M reductase, alpha subunit",3300001480,Sheep rumen microbial communities from New Zealand - Rank13_low (*) (MER-FS) (assembled),2,1491,497,rank13_10075999,,rank13_10075999,1820,0.36,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===903",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Host-associated,Mammals,Stomach,Digestive system,Rumen,Sheep rumen,,,,
3300001688 assembled SAHDGT3000_1000479620,SAHDGT3000_1000479620,"Methyl coenzyme M reductase, alpha subunit",3300001688,"Activated sludge microbial communities from the University of Illinois, USA - seeded with cattle waste (*) (MER-FS) (assembled)",2,1656,552,SAHDGT3000_10004796,,SAHDGT3000_10004796,16120,0.41,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===969",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Engineered,Wastewater,Dissolved organics (anaerobic),Nutrient removal,Activated sludge,Activated sludge,,,,
