Name	Description
2061766007	assembled _HiSeq_06258350 methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)
2061766007	assembled _HiSeq_06372580 methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)
2061766007	assembled _HiSeq_11817000 methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)
2199352030	assembled 2206340840 Methyl coenzyme M reductase, alpha subunit
2225789003	assembled 2227361004 methyl-coenzyme M reductase, alpha subunit
2225789003	assembled 2227419380 methyl-coenzyme M reductase, alpha subunit
2225789004	assembled 2227474494 methyl-coenzyme M reductase, alpha subunit
2225789004	assembled 2228078211 methyl-coenzyme M reductase, alpha subunit
2228664010	assembled 2231279928 methyl-coenzyme M reductase, alpha subunit
2228664010	assembled 2231285994 methyl-coenzyme M reductase, alpha subunit
2228664010	assembled 2231288273 methyl-coenzyme M reductase, alpha subunit
2228664010	assembled 2231289933 methyl-coenzyme M reductase, alpha subunit
2236876020	assembled 2244008158 methyl-coenzyme M reductase, alpha subunit
3300000494	assembled AAW_1000056186 Methyl coenzyme M reductase, alpha subunit
3300001863	assembled anas_10071211 Methyl coenzyme M reductase, alpha subunit
2199034002	assembled ANASMECb_00065320 methyl-coenzyme M reductase, alpha subunit
2199034002	assembled ANASMECb_00085030 methyl-coenzyme M reductase, alpha subunit
2199034002	assembled ANASMECb_00408120 Methyl coenzyme M reductase, alpha subunit
3300001862	assembled anastwen_10045223 Methyl coenzyme M reductase, alpha subunit
2140918003	assembled ANME1215_00510810 methyl-coenzyme M reductase, alpha subunit
2077657014	assembled ASA126_01818320 methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)
2084038021	assembled ASA129_01102430 methyl-coenzyme M reductase, alpha subunit (EC 2.8.4.1)
2140918024	assembled B_all_v_01139240 Methyl coenzyme M reductase, alpha subunit
3300001674	assembled B2nonrrna_1000055 Methyl coenzyme M reductase, alpha subunit
3300001674	assembled B2nonrrna_1000065 Methyl coenzyme M reductase, alpha subunit
2124908037	assembled B3_GZBA_v_00005570 Methyl coenzyme M reductase, alpha subunit
2140918009	assembled B3_GZOS_V_00067770 methyl-coenzyme M reductase, alpha subunit
2140918025	assembled b3_nosca_v_01006440 methyl-coenzyme M reductase, alpha subunit
2140918025	assembled b3_nosca_v_01157460 methyl-coenzyme M reductase, alpha subunit
2124908039	assembled B3_v_00041940 methyl-coenzyme M reductase, alpha subunit
