Gene,ID	Locus,Tag	Gene,Product,Name	Genome,ID	Genome,Name	Batch1	
3300029889,assembled,Ga0272442_101184793	Ga0272442_101184793	hypothetical,protein	3300029889	Peat,microbial,communities,from,Marcell,Experimental,Forest,bog,in,Minnesota,,USA,-,MG_T3F_30cm,(*),(MER-FS),(assembled)	1	
3300033171,assembled,Ga0451885_1788756_2044_3711	Ga0451885_1788756_2044_3711	hypothetical,protein	3300033171	Sludge,microbial,communities,from,methane-producing,bioreactor,in,Wageningen,University,,Netherlands,-,Granular,Sludge_31_05-R3,(*),(MER-FS),(assembled)	1	
3300050587,assembled,Ga0116176_100104395	Ga0116176_100104395	hypothetical,protein	3300050587	American,moose,rumen,microbial,community,from,Toronto,,Canada,-,MR-C,msp,(*),(MER-FS),(assembled)	1	
3300025393,assembled,Ga0168703_100012723	Ga0168703_100012723	hypothetical,protein	3300025393	Active,sludge,microbial,communities,of,municipal,wastewater-treating,anaerobic,digesters,from,China,-,AD_SCU002_MetaG,(SPAdes),(version,2),(*),(MER-FS),(assembled)	1	
3300030616,assembled,Ga0451951_0503498_458_2113	Ga0451951_0503498_458_2113	hypothetical,protein	3300030616	Marine,sediment,archaeal,communities,from,Little,Sippewissett,salt,marsh,,Falmouth,,MA,,United,States,-,SSM-Form-2O,(*),(MER-FS),(assembled)	1	
3300032070,assembled,Ga0494767_0000216_10203_11891	Ga0494767_0000216_10203_11891	hypothetical,protein	3300032070	Sediment,microbial,communities,from,Yellowstone,Lake,,YNP,,Wyoming,,USA,-,YL17G06_20,(*),(MER-FS),(assembled)	1	
3300056897,assembled,Ga0072335_100689561	Ga0072335_100689561	hypothetical,protein	3300056897	Soil,microbial,communities,from,Satilla,River,mesohaline,marsh,,Georgia,,USA,-,M1P_30_32,(*),(MER-FS),(assembled)	1	
3300010410,assembled,Ga0528643_003536_3709_5391	Ga0528643_003536_3709_5391	hypothetical,protein	3300010410	Aquatic,microbial,communities,from,North,Sea,petroleum,storage,tank,-,Cell4b,(*),(MER-FS),(assembled)	1	
3300037881,assembled,Ga0247275_10000204	Ga0247275_10000204	hypothetical,protein	3300037881	Bioelectrochemical,system,biofilm,bacterial,communities,from,sewage,treatment,works,near,Birtley,,UK,-,27B,(*),(MER-FS),(assembled)	1	
3300029268,assembled,Ga0325117_12975518	Ga0325117_12975518	hypothetical,protein	3300029268	Freshwater,microbial,communities,from,meromictic,Lake,La,Cruz,,Castile-La,Mancha,,Spain,-,LaCruzMarch2015_19m,(*),(MER-FS),(assembled)	1	
3300035335,assembled,Ga0335071_104439621	Ga0335071_104439621	hypothetical,protein	3300035335	Wastewater,microbial,community,from,oil,sands,tailing,pond,near,Ft.,McMurray,,Canada,-18E_3b_10_7,mgh,(*),(MER-FS),(assembled)	1	
3300026027,assembled,Ga0527652_013863_1226_2617	Ga0527652_013863_1226_2617	hypothetical,protein	3300026027	Natural,and,restored,wetland,microbial,communities,from,the,San,Francisco,Bay,,California,,USA,,that,impact,long-term,carbon,sequestration,-,MayberryNE_TuleA_D1,(SPAdes),(version,2),(*),(MER-FS),(assembled)	1	
3300014911,assembled,codie8draft_1000348121	codie8draft_1000348121	hypothetical,protein	3300014911	Subseafloor,sediment,microbial,communities,from,Guaymas,Basin,,Gulf,of,California,,Mexico,-,Guay16,,Core,4569-2,,12-15,cm,(*),(MER-FS),(assembled)	1	
3300035524,assembled,Ga0334890_10129314	Ga0334890_10129314	hypothetical,protein	3300035524	Oil,reservoir,microbial,communities,from,oil,well,in,Texas,,United,States,-,B1.1_Sample1.Rodeo1.Well667,(*),(MER-FS),(assembled)	1	
3300021255,assembled,Ga0394085_19608_11358_13061	Ga0394085_19608_11358_13061	hypothetical,protein	3300021255	Sheep,rumen,microbial,communities,from,New,Zealand,-,Tag,1494,SPADES,assembly,(*),(MER-FS),(assembled)	1	
3300002701,assembled,Ga0494001_025209_2_1372	Ga0494001_025209_2_1372	hypothetical,protein	3300002701	Wastewater,microbial,communities,from,Syncrude,,Ft.,McMurray,,Alberta,-,Produced,water,sample,10PW,from,MHGC,oil,field,-,MHGC10PW,(*),(MER-FS),(assembled)	1	
3300028593,assembled,Ga0181303_1015562	Ga0181303_1015562	hypothetical,protein	3300028593	Wastewater,microbial,communities,from,Lulu,Island,WWTP,,Vancouver,,Canada,-,plant24,(*),(MER-FS),(assembled)	1	
3300048598,assembled,Ga0116193_100100423	Ga0116193_100100423	hypothetical,protein	3300048598	Wood,chips,microbial,communities,from,bioreactor,in,Golden,,Colorado,,USA,-,AB_TrOCs_1,(*),(MER-FS),(assembled)	1	
3300033148,assembled,Ga0451933_0241668_150_1856	Ga0451933_0241668_150_1856	hypothetical,protein	3300033148	Subseafloor,sediment,microbial,communities,from,Guaymas,Basin,,Gulf,of,California,,Mexico,-,Megamat,,Core,4486-22,,Meg22,,8-10,cm,(*),(MER-FS),(assembled)	1	
3300035634,assembled,Ga0209540_10000066157	Ga0209540_10000066157	hypothetical,protein	3300035634	Wastewater,microbial,community,from,oil,sands,tailing,pond,near,Ft.,McMurray,,Canada,-,18E_1_7_6,mgh,(*),(MER-FS),(assembled)	1	
3300037133,assembled,Ga0466706_033017_6116_7771	Ga0466706_033017_6116_7771	hypothetical,protein	3300037133	Peatland,microbial,communities,from,Stordalen,Mire,,Sweden,-,713,CPN1-2-S,(*),(MER-FS),(assembled)	1	
3300038401,assembled,Ga0568894_0009396_1441_3144	Ga0568894_0009396_1441_3144	hypothetical,protein	3300038401	Sediment,microbial,communities,from,Loxahatchee,National,Wildlife,Refuge,,Florida,,United,States,-,Lox_South_1,(*),(MER-FS),(assembled)	1	
3300049640,assembled,Ga0223826_101887391	Ga0223826_101887391	hypothetical,protein	3300049640	Mesophilic,digester,sludge,microbial,communities,from,biogas,plant,in,Geslau,,Bavaria,,Germany,-,PB25_MG_260218,(*),(MER-FS),(assembled)	1	
3300054085,assembled,Ga0255363_1028311	Ga0255363_1028311	hypothetical,protein	3300054085	Peatland,microbial,communities,from,SPRUCE,experiment,site,at,the,Marcell,Experimental,Forest,,Minnesota,,USA,-,June2016WEW_6_10,re-annotation,(*),(MER-FS),(assembled)	1	
3300000866,assembled,Ga0310691_100436244	Ga0310691_100436244	hypothetical,protein	3300000866	Hot,spring,sediment,from,Jinze,in,Tengchong,,China,(*),(MER-FS),(assembled)	1	
3300031992,assembled,Ga0451941_0025771_1_1242	Ga0451941_0025771_1_1242	hypothetical,protein	3300031992	Sheep,rumen,microbial,communities,from,Palmerston,North,,Manawatu-Wanganui,,New,Zealand,-,1742,DNA,GHGhigh,gp2,(v2),(version,2),(*),(MER-FS),(assembled)	1	
3300037528,assembled,Ga0134850_004093_1704_3356	Ga0134850_004093_1704_3356	hypothetical,protein	3300037528	Sludge,microbial,communities,from,methane-producing,bioreactor,in,Wageningen,University,,Netherlands,-,Granular,Sludge_18_07-R3,(*),(MER-FS),(assembled)	1	
3300030446,assembled,Ga0334892_100036527	Ga0334892_100036527	hypothetical,protein	3300030446	Synthetic,microbial,communities,for,library,methods,comparison,from,University,of,Liverpool,,United,Kingdom,-,Mg63,(*),(MER-FS),(assembled)	1	
3300014839,assembled,Ga0245322_10001031	Ga0245322_10001031	hypothetical,protein	3300014839	Permafrost,microbial,communities,from,Stordalen,Mire,,Sweden,-,712E1D,metaG,(Illumina,Assembly),(*),(MER-FS),(assembled)	1	
3300042615,assembled,Ga0377206_014900_2777_4165	Ga0377206_014900_2777_4165	hypothetical,protein	3300042615	Termite,gut,microbial,communities,of,Kalotermes,flavicollis,from,BAM,Federal,Institute,for,Materials,Research,and,Testing,,Berlin,,Germany,-,Kf353,(*),(MER-FS),(assembled)	1	
3300037207,assembled,Ga0116151_100093907	Ga0116151_100093907	hypothetical,protein	3300037207	Peatland,microbial,communities,from,Stordalen,Mire,,Sweden,-,711,S-2-M,(*),(MER-FS),(assembled)	1	
3300056867,assembled,Ga0527687_011314_1942_3294	Ga0527687_011314_1942_3294	hypothetical,protein	3300056867	Soil,microbial,communities,from,Satilla,River,freshwater,marsh,,Georgia,,USA,-,F1L_9_10,(*),(MER-FS),(assembled)	1	
3300038450,assembled,Ga0531112_000397_61537_63201	Ga0531112_000397_61537_63201	hypothetical,protein	3300038450	Peat,soil,microbial,communities,from,Marcell,Experimental,Forest,,MN,,USA,-,P21_D10,(*),(MER-FS),(assembled)	1	
3300022243,assembled,Ga0245199_10224611	Ga0245199_10224611	hypothetical,protein	3300022243	Activated,sludge,microbial,communities,from,anaerobic,bioreactor,in,Hunan,University,,Changsha,,China,-,2,(*),(MER-FS),(assembled)	1	
3300037067,assembled,Ga0134093_100001448	Ga0134093_100001448	hypothetical,protein	3300037067	Leachate,microbial,communities,from,a,municipal,landfill,in,Southern,Ontario,,Canada,-,LW162,2017,(*),(MER-FS),(assembled)	1	
3300017946,assembled,Ga0265403_1014993	Ga0265403_1014993	hypothetical,protein	3300017946	Peatland,microbial,communities,from,SPRUCE,experiment,site,at,the,Marcell,Experimental,Forest,,Minnesota,,USA,-,June2016WEW_19_10,(*),(MER-FS),(assembled)	1	
3300001096,assembled,Ga0134091_10003161	Ga0134091_10003161	hypothetical,protein	3300001096	Wastewater,bioreactor,microbial,communities,from,Singapore,-Terephthalate,degrading,community,TA,Sludge,(*),(MER-FS),(assembled)	1	
3300029288,assembled,Ga0136653_100377081	Ga0136653_100377081	hypothetical,protein	3300029288	Leachate,microbial,communities,from,a,municipal,landfill,in,Southern,Ontario,,Canada,-,Leachate,well,137-91,(*),(MER-FS),(assembled)	1	
3300029942,assembled,Ga0334892_10004139	Ga0334892_10004139	hypothetical,protein	3300029942	Biosolids,microbial,communities,from,sewage,treatment,plant,in,Sweden,-,SWESTP8,-,Uppsala-digested,109,(*),(MER-FS),(assembled)	1	
3300022831,assembled,Ga0302207_10272251	Ga0302207_10272251	hypothetical,protein	3300022831	Peat,soil,microbial,communities,from,Stordalen,Mire,,Sweden,-,IR.F.S.T100,(*),(MER-FS),(assembled)	1	
3300022838,assembled,Ga0193584_10319114	Ga0193584_10319114	hypothetical,protein	3300022838	Saline,water,microbial,communities,from,Ace,Lake,,Antarctica,-,#1006,(*),(MER-FS),(assembled)	1	
3300040999,assembled,Ga0495421_0001053_11255_12943	Ga0495421_0001053_11255_12943	hypothetical,protein	3300040999	Paddy,soil,microbial,communities,from,Vercelli,,Italy,-,timepoint4,(*),(MER-FS),(assembled)	1	
3300010428,assembled,Ga0394157_0003293_7382_9037	Ga0394157_0003293_7382_9037	hypothetical,protein	3300010428	Switchgrass,degrading,microbial,communities,from,high,solid,loading,bioreactors,in,New,Hampshire,,USA,-,14_58_20_212_A1,metaG,(*),(MER-FS),(assembled)	1	
3300029717,assembled,Ga0416717_0688317_3719_5407	Ga0416717_0688317_3719_5407	hypothetical,protein	3300029717	Human,fecal,microbial,communities,from,twins,in,the,TwinsUK,registry,in,London,,United,Kingdom,-,YSZC12003_36667,(*),(MER-FS),(assembled)	1	
3300057056,assembled,Ga0187784_10000010165	Ga0187784_10000010165	hypothetical,protein	3300057056	Soil,microbial,communities,from,Satilla,River,freshwater,marsh,,Georgia,,USA,-,F2P_9_10,(*),(MER-FS),(assembled)	1	
3300028581,assembled,Ga0209340_100014445	Ga0209340_100014445	hypothetical,protein	3300028581	Freshwater,microbial,communities,from,meromictic,Lake,La,Cruz,,Castile-La,Mancha,,Spain,-,LaCruzMarch2015_17m,(*),(MER-FS),(assembled)	1	
3300035493,assembled,AAW_1000056186	AAW_1000056186	hypothetical,protein	3300035493	Tar,microbial,communities,from,Pitch,Lake,,Trinidad,and,Tobago,-,PitchLake_TarD,(*),(MER-FS),(assembled)	1	
3300059599,assembled,Ga0568917_0134334_1256_2569	Ga0568917_0134334_1256_2569	hypothetical,protein	3300059599	Soil,microbial,communities,from,Satilla,River,mesohaline,marsh,,Georgia,,USA,-,M1L_50_52,(*),(MER-FS),(assembled)	1	
3300044508,assembled,rank34_10358642	rank34_10358642	hypothetical,protein	3300044508	Sediment,microbial,communities,from,irrigation,canal,in,Merced,County,,California,,USA,-,AT2-9-26-19,(*),(MER-FS),(assembled)	1	
3300035542,assembled,JGI26339J46600_1000031710	JGI26339J46600_1000031710	hypothetical,protein	3300035542	Oil,reservoir,microbial,communities,from,oil,well,in,Texas,,United,States,-,B2.8_Sample2.Rodeo8.Well662,(*),(MER-FS),(assembled)	1	
3300009642,assembled,Ga0214523_100008426	Ga0214523_100008426	hypothetical,protein	3300009642	Anaerobic,biogas,reactor,microbial,communites,from,Washington,,USA,-,Biogas_R2_B,C13,SIP,DNA,(*),(MER-FS),(assembled)	1	
3300014155,assembled,Ga0245633_00123_3435_5141	Ga0245633_00123_3435_5141	hypothetical,protein	3300014155	Peatland,microbial,communities,from,MTU,Mesocosm,Facility,,Houghton,,MI,,USA,-,PEATcosm2014_Bin05_60_metaG,(*),(MER-FS),(assembled)	1	
3300002898,assembled,Ga0315278_100643923	Ga0315278_100643923	hypothetical,protein	3300002898	Metagenome,Biopara,biogasfermenter,May,2013,pooled,(*),(MER-FS),(assembled)	1	
3300010264,assembled,Ga0568895_0043905_3413_5116	Ga0568895_0043905_3413_5116	hypothetical,protein	3300010264	Marine,hydrothermal,vent,microbial,communities,from,Guaymas,Basin,,Gulf,of,California,to,study,Microbial,Dark,Matter,(Phase,II),-,Marker,14,Mat,core,4571-4,33-36,cm,metaG,(*),(MER-FS),(assembled)	1	
3300039477,assembled,Ga0466697_059700_110_1762	Ga0466697_059700_110_1762	hypothetical,protein	3300039477	Tundra,field,soil,microbial,communities,from,Alaska,Tundra,,USA,-,AK5YR,5C,15-25cm,(*),(MER-FS),(assembled)	1	
3300001674,assembled,Ga0105152_100665431	Ga0105152_100665431	hypothetical,protein	3300001674	B2nonrrna,(*),(MER-FS),(assembled)	1	
3300001580,assembled,Ga0172381_10000056112	Ga0172381_10000056112	hypothetical,protein	3300001580	Wastewater,microbial,communities,from,Syncrude,,Ft.,McMurray,,Alberta,-,Microbes,from,Suncor,taillings,pond,6,2012TP6_6,(*),(MER-FS),(assembled)	1	
3300001096,assembled,Ga0376445_023732_3_1385	Ga0376445_023732_3_1385	hypothetical,protein	3300001096	Wastewater,bioreactor,microbial,communities,from,Singapore,-Terephthalate,degrading,community,TA,Sludge,(*),(MER-FS),(assembled)	1	
3300033161,assembled,Ga0496409_0050237_1089_2795	Ga0496409_0050237_1089_2795	hypothetical,protein	3300033161	Sludge,microbial,communities,from,methane-producing,bioreactor,in,Wageningen,University,,Netherlands,-,Granular,Sludge_09_05-R3,(*),(MER-FS),(assembled)	1	
3300046686,assembled,Ga0526685_0020748_3708_5372	Ga0526685_0020748_3708_5372	hypothetical,protein	3300046686	Peat,soil,microbial,communities,from,Stordalen,Mire,,Sweden,-,718,AvC-C2,20-24,(*),(MER-FS),(assembled)	1	
3300045454,assembled,Ga0439239_0173211_3_1559	Ga0439239_0173211_3_1559	hypothetical,protein	3300045454	Groundwater,microbial,communities,from,well,in,Ash,Sharqiyah,North,Governorate,,Oman,-,OM20_BA3A_75,(*),(MER-FS),(assembled)	1	
3300003146,assembled,Ga0376513_001816_1508_3229	Ga0376513_001816_1508_3229	hypothetical,protein	3300003146	Human,fecal,microbial,communities,from,Washington,University,at,St.,Louis,,Missouri,,USA,,of,twins,-,TS28,(*),(MER-FS),(assembled)	1	
3300017919,assembled,Ga0080455_10125452	Ga0080455_10125452	hypothetical,protein	3300017919	Subsurface,microbial,communities,from,deep,shales,in,Ohio,,USA,-,hydraulic,fracturing,test,GB_TM_B,(*),(MER-FS),(assembled)	1	
3300048826,assembled,Ga0116148_10081746	Ga0116148_10081746	hypothetical,protein	3300048826	Peat,soil,microbial,communities,from,Stordalen,Mire,,Sweden,-,719,S3,10-14,(*),(MER-FS),(assembled)	1	
3300009548,assembled,Ga0251769_100012410	Ga0251769_100012410	hypothetical,protein	3300009548	Peatland,microbial,communities,from,SPRUCE,experiment,site,at,the,Marcell,Experimental,Forest,,Minnesota,,USA,-,June2015DPH_6_100,(*),(MER-FS),(assembled)	1	
3300033171,assembled,Ga0236239_10077451	Ga0236239_10077451	hypothetical,protein	3300033171	Sludge,microbial,communities,from,methane-producing,bioreactor,in,Wageningen,University,,Netherlands,-,Granular,Sludge_31_05-R3,(*),(MER-FS),(assembled)	1	
3300001844,assembled,Ga0568905_0036679_3_1211	Ga0568905_0036679_3_1211	hypothetical,protein	3300001844	Marine,plankton,microbial,communities,from,the,Amazon,River,plume,,Atlantic,Ocean,-,RCM35,,ROCA_DNA220_0.2um_bLM_C_3a,(*),(MER-FS),(assembled)	1	
3300029822,assembled,Ga0392394_0050158_2687_4372	Ga0392394_0050158_2687_4372	hypothetical,protein	3300029822	Liquor,fermentation,pit,mud,microbial,communities,from,Chengdu,,China,-,Meta-7-3-30-T,(*),(MER-FS),(assembled)	1	
3300038975,assembled,Ga0224422_122792252	Ga0224422_122792252	hypothetical,protein	3300038975	Anaerobic,digester,sludge,microbial,community,from,a,pulp,and,paper,mill,in,Quebec,,Canada,-,TemR1171227,MSP,(*),(MER-FS),(assembled)	1	
3300026178,assembled,Ga0187896_10052822	Ga0187896_10052822	hypothetical,protein	3300026178	Activated,sludge,microbial,communities,from,lab.,scaled,anaerobic,digester,in,Belvaux,,Luxembourg,-,ACS0-37,(*),(MER-FS),(assembled)	1	
3300014040,assembled,Ga0310687_0087011_86_1504	Ga0310687_0087011_86_1504	hypothetical,protein	3300014040	Human,gut,microbial,communities,from,patients,with,symptomatic,atherosclerosis,-,Chalmers,University,of,Technology,-,352,(*),(MER-FS),(assembled)	1	
